"","Company","Date200506","MCR200506","Capital200506","Surplus200506","SolRatio200506","Date200512","MCR200512","Capital200512","Surplus200512","SolRatio200512","Date200606","MCR200606","Capital200606","Surplus200606","SolRatio200606","Date200612","MCR200612","Capital200612","Surplus200612","SolRatio200612","Date200706","MCR200706","Capital200706","Surplus200706","SolRatio200706","Date200712","MCR200712","Capital200712","Surplus200712","SolRatio200712","Date200806","MCR200806","Capital200806","Surplus200806","SolRatio200806","Date200812","MCR200812","Capital200812","Surplus200812","SolRatio200812","Date200906","MCR200906","Capital200906","Surplus200906","SolRatio200906","Date200912","MCR200912","Capital200912","Surplus200912","SolRatio200912","Date201006","MCR201006","Capital201006","Surplus201006","SolRatio201006"
"61","EIG ANSVAR","31 Dec",20231,49564,29333,2.45,"31 Dec",22793,61211,38418,2.69,"31 Dec",22828,60715,37887,2.66,"31 Dec",24752,70277,45525,2.84,"31 Dec",24752,70277,45525,2.84,"31 Dec",28646,69808,41162,2.44,"31 Dec",28646,69808,41162,2.44,"31 Dec",32332,72079,39747,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","ELDERS","30 Jun",29916,67661,37745,2.26,"30 Jun",29916,67661,37745,2.26,"30 Jun",34041,77003,42962,2.26,"30 Jun",34041,77003,42962,2.26,"30 Jun",33926,65075,31149,1.92,"30 Jun",33926,65075,31149,1.92,"30 Jun",39634,73427,33793,1.85,"30 Sep",39634,73427,33793,1.85,"30 Jun",49552,94715,45163,1.91,"31 Dec",48860,110916,62056,2.27,"31 Dec",48860,110916,62056,2.27
"63","EMPLOY MUT","30 Jun",7915,45026,37111,5.69,"30 Jun",7915,45026,37111,5.69,"30 Jun",8736,52505,43769,6.01,"30 Jun",8736,52505,43769,6.01,"30 Jun",10487,72716,62229,6.93,"30 Jun",10487,72716,62229,6.93,"30 Jun",10134,66355,56221,6.55,"30 Jun",10134,66355,56221,6.55,"30 Jun",12334,70280,57945,5.7,"30 Jun",12334,70280,57945,5.7,"30 Jun",13428,75366,61938,5.61
"64","EMPLOY RE","31 Dec",112281,292249,179968,2.6,"31 Dec",124643,339191,214548,2.72,"31 Dec",124643,339191,214548,2.72,"31 Dec",95691,348558,252867,3.64,"31 Dec",95691,348558,252867,3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","FARM MIL","31 Mar",5000,17279,12279,3.46,"31 Mar",5000,17279,12279,3.46,"31 Mar",6580,10219,3639,1.55,"31 Mar",6580,10219,3639,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","FIRST AM","31 Dec",5000,5550,550,1.11,"31 Dec",5000,6985,1985,1.4,"31 Dec",5000,6985,1985,1.4,"31 Dec",5000,7953,2953,1.59,"31 Dec",5000,7953,2953,1.59,"31 Dec",5000,9684,4684,1.94,"31 Dec",5000,9684,4684,1.94,"31 Dec",5000,8705,3705,1.74,"31 Dec",5000,8705,3705,1.74,"31 Dec",5000,8258,3258,1.65,"31 Dec",5000,8258,3258,1.65
"67","FM INS","31 Dec",14337,97961,83624,6.83,"31 Dec",15201,62682,47481,4.12,"31 Dec",15201,62682,47481,4.12,"31 Dec",17742,111547,93805,6.29,"31 Dec",17742,111547,93805,6.29,"31 Dec",17342,113728,96386,6.56,"31 Dec",17342,113728,96386,6.56,"31 Dec",32085,93247,61162,2.91,"31 Dec",32085,93247,61162,2.91,"31 Dec",36195,120873,84678,3.34,"31 Dec",36195,120873,84678,3.34
"68","FORTRON","30 Jun",8445,7641,-804,0.9,"30 Jun",8346,7641,-705,0.92,"30 Jun",7369,8396,1027,1.14,"30 Jun",7472,8396,924,1.12,"30 Jun",7872,9121,1249,1.16,"30 Jun",7872,9121,1249,1.16,"30 Jun",7003,10169,3166,1.45,"30 Jun",7003,10169,3166,1.45,"30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","GE MORT","31 Dec",327436,901269,573833,2.75,"31 Dec",434257,1030584,596327,2.37,"31 Dec",434257,1030584,596327,2.37,"31 Dec",1130740,1189145,58405,1.05,"31 Dec",1130740,1189145,58405,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","GEN LMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",72767,102387,29620,1.41,"31 Dec",72767,102387,29620,1.41,"31 Dec",45447,67945,22498,1.5,"31 Dec",45447,67945,22498,1.5,"31 Dec",37199,63763,26564,1.71,"31 Dec",37199,63763,26564,1.71,"31 Dec",30203,43001,12798,1.42,"31 Dec",30203,43001,12798,1.42
"71","GEN MORT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",1158200,1525663,367463,1.32,"31 Dec",1158200,1525663,367463,1.32,"31 Dec",1266842,1725758,458916,1.36,"31 Dec",1266842,1725758,458916,1.36,"31 Dec",1493537,1944767,451230,1.3,"31 Dec",1493537,1944767,451230,1.3
"72","GEN RE","31 Dec",115546,195059,79513,1.69,"31 Dec",115126,216702,101576,1.88,"31 Dec",115126,216702,101576,1.88,"31 Dec",113708,221958,108250,1.95,"31 Dec",113708,221958,108250,1.95,"31 Dec",107908,204045,96137,1.89,"31 Dec",107908,204045,96137,1.89,"31 Dec",143011,349884,206873,2.45,"31 Dec",143011,349884,206873,2.45,"31 Dec",110652,393579,282927,3.56,"31 Dec",110652,393579,282927,3.56
"73","GERLING","31 Dec",26855,26222,-633,0.98,"31 Dec",15733,34777,19044,2.21,"31 Dec",15733,34777,19044,2.21,"31 Dec",12626,34035,21409,2.7,"31 Dec",12626,34035,21409,2.7,"31 Dec",11616,32785,21169,2.82,"31 Dec",11616,32785,21169,2.82,"31 Dec",10165,32530,22365,3.2,"31 Dec",10165,32530,22365,3.2,"31 Dec",8322,22295,13973,2.68,"31 Dec",8322,22295,13973,2.68
"74","GIO GEN","30 Jun",470158,973043,502885,2.07,"30 Jun",470158,973043,502885,2.07,"30 Jun",524457,887743,363286,1.69,"30 Jun",524457,887743,363286,1.69,"30 Jun",553115,889581,336466,1.61,"30 Jun",553115,889581,336466,1.61,"30 Jun",601552,826503,224951,1.37,"30 Jun",601552,826503,224951,1.37,"30 Jun",405868,650233,244365,1.6,"30 Jun",405868,650233,244365,1.6,"30 Jun",426555,631669,205114,1.48
"75","GORDIAN","31 Dec",224712,646126,421414,2.88,"31 Dec",172298,733440,561142,4.26,"31 Dec",172298,733440,561142,4.26,"31 Dec",133113,651119,518006,4.89,"31 Dec",133113,651119,518006,4.89,"31 Dec",91652,564992,473340,6.16,"31 Dec",91652,564992,473340,6.16,"31 Dec",84533,574906,490373,6.8,"31 Dec",84533,574906,490373,6.8,"31 Dec",68183,331056,262873,4.86,"31 Dec",68183,331056,262873,4.86
"76","GRT LAKES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,"31 Dec",5789,14675,8886,2.53,"31 Dec",5789,14675,8886,2.53,"31 Dec",10262,21632,11370,2.11,"31 Dec",10262,21632,11370,2.11
"77","GUILD INS","30 Jun",27034,54565,27531,2.02,"30 Jun",27034,54565,27531,2.02,"30 Jun",31846,59002,27156,1.85,"30 Jun",31846,59002,27156,1.85,"30 Jun",36318,74651,38333,2.06,"30 Jun",36318,74651,38333,2.06,"30 Jun",36606,71098,34492,1.94,"30 Jun",36606,71098,34492,1.94,"30 Jun",40431,70889,30458,1.75,"30 Jun",40431,70889,30458,1.75,"30 Jun",56359,100103,43744,1.78
"78","HALLMARK","31 Dec",11875,45358,33483,3.82,"31 Dec",15501,74642,59141,4.82,"31 Dec",15501,74642,59141,4.82,"31 Dec",20931,109311,88380,5.22,"31 Dec",20931,109311,88380,5.22,"31 Dec",19541,137760,118219,7.05,"31 Dec",19541,137760,118219,7.05,"31 Dec",22668,142687,120019,6.29,"31 Dec",22668,142687,120019,6.29,"31 Dec",25639,93221,67582,3.64,"31 Dec",25639,93221,67582,3.64
"79","HANNOVER","31 Dec",126778,192834,66056,1.52,"31 Dec",109426,234081,124655,2.14,"31 Dec",109426,234081,124655,2.14,"31 Dec",113533,174635,61102,1.54,"31 Dec",113533,174635,61102,1.54,"31 Dec",125739,182041,56302,1.45,"31 Dec",125739,182041,56302,1.45,"31 Dec",135448,230288,94840,1.7,"31 Dec",135448,230288,94840,1.7,"31 Dec",143946,272900,128954,1.9,"31 Dec",143946,272900,128954,1.9
"80","HBF INS","30 Jun",8214,30983,22769,3.77,"30 Jun",8214,30983,22769,3.77,"30 Jun",11430,36649,25219,3.21,"30 Jun",11430,36649,25219,3.21,"30 Jun",15689,45791,30102,2.92,"30 Jun",15689,45791,30102,2.92,"30 Jun",17704,45639,27935,2.58,"30 Jun",17704,45639,27935,2.58,"30 Jun",13278,45527,32249,3.43,"30 Jun",13278,45527,32249,3.43,"30 Jun",15496,55236,39740,3.56
"81","HDIGERLING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",5000,13710,8710,2.74,"31 Dec",5000,13710,8710,2.74
"82","HOLLARD","30 Jun",7329,27485,20156,3.75,"30 Jun",7329,27485,20156,3.75,"30 Jun",9666,23830,14164,2.47,"30 Jun",9666,23830,14164,2.47,"30 Jun",10250,31580,21330,3.08,"30 Jun",10250,31580,21330,3.08,"30 Jun",12652,26500,13848,2.09,"30 Jun",12652,26500,13848,2.09,"30 Jun",21681,44290,22609,2.04,"30 Jun",21681,44290,22609,2.04,"30 Jun",25523,50660,25137,1.98
"83","HOTEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",5000,20460,15460,4.09,"30 Jun",5000,20460,15460,4.09,"30 Jun",5000,22054,17054,4.41,"30 Jun",5000,22054,17054,4.41,"30 Jun",6629,22136,15507,3.34
"84","HPIA","30 Jun",9737,27982,18245,2.87,"30 Jun",9737,27982,18245,2.87,"30 Jun",18703,51663,32960,2.76,"30 Jun",18703,51663,32960,2.76,"30 Jun",19561,62057,42496,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","HSB","31 Dec",8847,15937,7090,1.8,"31 Dec",10265,14916,4651,1.45,"31 Dec",10265,29832,4651,1.45,"31 Dec",5000,7345,2345,1.47,"31 Dec",5000,7345,2345,1.47,"31 Dec",5000,12160,7160,2.43,"31 Dec",5000,12160,7160,2.43,"31 Dec",5000,20523,15523,4.1,"31 Dec",5000,20523,15523,4.1,"31 Dec",5000,20191,15191,4.04,"31 Dec",5000,20191,15191,4.04
"86","IAG RE","30 Jun",5000,5835,835,1.17,"30 Jun",5000,5835,835,1.17,"30 Jun",5000,6173,1173,1.23,"30 Jun",5000,6173,1173,1.23,"30 Jun",5000,6464,1464,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","IAG RE AUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",258175,423971,165796,1.64,"30 Jun",258175,423971,165796,1.64,"30 Jun",160787,457827,297040,2.85,"30 Jun",160787,457827,297040,2.85,"30 Jun",196496,457521,261024,2.33,"30 Jun",196496,457521,261024,2.33,"30 Jun",164765,499587,334822,3.03
"88","IAL","30 Jun",1012455,3333557,2321102,3.29,"30 Jun",1012455,3333557,2321102,3.29,"30 Jun",1018082,2664247,1646165,2.62,"30 Jun",1018082,2664247,1646165,2.62,"30 Jun",994772,2689078,1694306,2.7,"30 Jun",994772,2689078,1694306,2.7,"30 Jun",972420,2192969,1220549,2.26,"30 Jun",972420,2192969,1220549,2.26,"30 Jun",1164881,2129089,964208,1.83,"30 Jun",1164881,2137353,972472,1.83,"30 Jun",1304241,2608409,1304168,2
"89","IMA","30 Jun",298507,582426,283919,1.95,"30 Jun",298507,582426,283919,1.95,"30 Jun",276149,636979,360830,2.31,"30 Jun",276149,636979,360830,2.31,"30 Jun",289619,600551,310932,2.07,"30 Jun",289619,600551,310932,2.07,"30 Jun",280962,507890,226928,1.81,"30 Jun",280962,507890,226928,1.81,"30 Jun",290086,614660,324574,2.12,"30 Jun",290086,614660,324574,2.12,"30 Jun",303159,637670,334511,2.1
"90","ING","31 Dec",11958,21200,9242,1.77,"31 Dec",19476,29016,9540,1.49,"31 Dec",19476,29016,9540,1.49,"31 Dec",30100,41723,11623,1.39,"31 Dec",30100,41723,11623,1.39,"31 Dec",34752,58120,23368,1.67,"31 Dec",34752,58120,23368,1.67,"31 Dec",44009,60243,16234,1.37,"31 Dec",44009,60243,16234,1.37,"31 Dec",53382,101976,48594,1.91,NA,NA,NA,NA,NA
"91","INTHANN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",5000,6686,1686,1.34,"31 Dec",5000,6686,1686,1.34,"31 Dec",5000,7923,2923,1.58,"31 Dec",5000,7923,2923,1.58
"92","KEMPER INS","31 Dec",2000,3557,1557,1.78,"31 Dec",2000,3557,1557,1.78,"31 Dec",2000,3557,1557,1.78,NA,NA,NA,NA,NA,"31 Dec",2000,3581,1581,1.79,"31 Dec",2000,3731,1731,1.87,"31 Dec",2000,3731,1731,1.87,"31 Dec",2000,2481,481,1.24,"31 Dec",2000,2481,481,1.24,"31 Dec",2000,2746,746,1.37,"31 Dec",2000,2746,746,1.37
"93","LAWCOVER","30 Jun",14061,18813,4752,1.34,"30 Jun",14061,18813,4752,1.34,NA,NA,NA,NA,NA,"30 Jun",18645,28159,9514,1.51,NA,NA,NA,NA,NA,"30 Jun",21490,39530,18040,1.84,"30 Jun",23591,47970,24379,2.03,NA,NA,NA,NA,NA,"30 Jun",26844,62495,35651,2.33,"30 Jun",26844,62495,35651,2.33,"30 Jun",31100,69456,38356,2.23
"94","LIBERTY","31 Dec",47197,101272,54075,2.15,"31 Dec",52845,114881,62036,2.17,"31 Dec",52845,114881,62036,2.17,"31 Dec",53296,153788,100492,2.89,"31 Dec",53296,153788,100492,2.89,"31 Dec",51655,181905,130250,3.52,"31 Dec",51655,181905,130250,3.52,"31 Dec",75103,125178,50075,1.67,"31 Dec",75103,125178,50075,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","LIONHEART","30 Jun",2000,1094,-906,0.55,"30 Jun",2000,1094,-906,0.55,"30 Jun",2000,961,-1039,0.48,"30 Jun",2000,961,-1039,0.48,"30 Jun",NA,NA,NA,NA,"30 Jun",2000,748,-1252,0.37,"30 Jun",2000,4366,2366,2.18,"30 Jun",2000,4366,2366,2.18,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA
"96","LUMLEY GEN","30 Jun",67144,118460,51316,1.76,"30 Jun",67144,118460,51316,1.76,"30 Jun",63435,114232,50797,1.8,"30 Jun",63435,114232,50797,1.8,"30 Jun",78444,108471,30027,1.38,"30 Jun",78444,108471,30027,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","MASTER BUT","01 Dec",NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA
"98","MDA","30 Jun",16897,39156,22259,2.32,"30 Jun",16897,39156,22259,2.32,"30 Jun",27618,54625,27007,1.98,"30 Jun",27618,54625,27007,1.98,"30 Jun",32350,69777,37427,2.16,NA,NA,NA,NA,NA,"30 Jun",36768,70615,33847,1.92,"30 Jun",36768,70615,33847,1.92,"30 Jun",30276,77464,47188,2.56,"30 Jun",30276,77464,47188,2.56,"30 Jun",31191,99285,68094,3.18
"99","MDU","30 Jun",3500,4774,1274,1.36,"30 Jun",3500,4774,1274,1.36,"30 Jun",3500,5170,1670,1.48,"30 Jun",3500,5170,1670,1.48,"30 Jun",3500,5517,2017,1.58,"30 Jun",3500,5517,2017,1.58,"30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","METLIFE","31 Dec",NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,"31 Dec",0,0,0,0,"31 Dec",2000,6734,4734,3.37,"31 Dec",2000,7147,5147,3.57,"31 Dec",2000,7147,5147,3.57,"31 Dec",2000,7578,5578,3.79,"31 Dec",2000,7578,5578,3.79,"31 Dec",2000,8030,6030,4.02,"31 Dec",2000,8030,6030,4.02
"101","MGIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,"31 Dec",42750,130956,88206,3.06,"31 Dec",42750,130956,88206,3.06,"31 Dec",91954,142190,50236,1.55,"31 Dec",91954,142190,50236,1.55,"31 Dec",88246,142315,54069,1.61,"31 Dec",88246,142315,54069,1.61
"102","MIA","30 Jun",16719,20844,4125,1.25,"30 Jun",16719,20844,4125,1.25,"30 Jun",15654,30719,15065,1.96,"30 Jun",15654,30719,15065,1.96,"30 Jun",18690,40040,21350,2.14,"30 Jun",18690,40040,21350,2.14,"30 Jun",22297,49113,26816,2.2,"30 Jun",22297,49113,26816,2.2,"30 Jun",21247,53868,32621,2.54,"30 Jun",21247,53868,32621,2.54,"30 Jun",24022,68090,44068,2.83
"103","MIPSI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",19561,62057,42496,3.17,"30 Jun",21347,70611,49264,3.31,"30 Jun",21347,70611,49264,3.31,"30 Jun",24460,71520,47060,2.92,"30 Jun",24460,71520,47060,2.92,"30 Jun",25807,79950,54143,3.1
"104","MITSUI","31 Mar",35101,69269,34168,1.97,"31 Mar",35101,69269,34168,1.97,"31 Mar",35444,76467,41023,2.16,"31 Mar",35444,76467,41023,2.16,"31 Mar",35765,85059,49294,2.38,"31 Mar",35765,85059,49294,2.38,"31 Mar",37964,69294,31330,1.83,"31 Mar",37964,69294,31330,1.83,"31 Mar",38693,62098,23405,1.6,"31 Mar",38693,62098,23405,1.6,"31 Mar",27412,66887,39475,2.44
"105","MMIA","31 Dec",114003,208782,94779,1.83,"31 Dec",58243,228187,169944,3.92,"31 Dec",58243,228187,169944,3.92,"31 Dec",53383,183713,130330,3.44,"31 Dec",53383,183713,130330,3.44,"31 Dec",43784,213018,169234,4.87,"31 Dec",43784,213018,169234,4.87,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","MRMPL","30 Jun",9186,14513,5327,1.58,"30 Jun",9186,14513,5327,1.58,"30 Jun",10300,14800,4500,1.44,"30 Jun",10300,14800,4500,1.44,"30 Jun",9830,14914,5084,1.52,"30 Jun",9830,14914,5084,1.52,"30 Jun",10473,15291,4818,1.46,"30 Jun",10473,15291,4818,1.46,"30 Jun",12573,18409,5836,1.46,"30 Jun",12573,18409,5836,1.46,"30 Jun",14392,22965,8573,1.6
"107","MTA","30 Jun",5000,17770,12770,3.55,"30 Jun",5000,17770,12770,3.55,"30 Jun",5547,19047,13500,3.43,"30 Jun",5547,19047,13500,3.43,"30 Jun",5906,22472,16566,3.8,"30 Jun",5906,22472,16566,3.8,"30 Jun",6451,18921,12470,2.93,"30 Jun",6451,18921,12470,2.93,"30 Jun",6792,19399,12607,2.86,"30 Jun",6792,19399,12607,2.86,"30 Jun",6930,19218,12288,2.77
"108","MUNICH RE","31 Dec",262850,502534,239684,1.91,"31 Dec",281664,450021,168357,1.6,"31 Dec",281664,450021,168357,1.6,"31 Dec",289327,467415,178088,1.62,"31 Dec",289327,467415,178088,1.62,"31 Dec",311276,476021,164745,1.53,"31 Dec",311276,476021,164745,1.53,"31 Dec",344649,497266,152617,1.44,"31 Dec",344649,497266,152617,1.44,"31 Dec",349646,524604,174958,1.5,"31 Dec",349646,524604,174958,1.5
"109","MUNICIPAL","30 Jun",2000,8529,6529,4.26,"30 Jun",2000,8529,6529,4.26,"30 Jun",2000,9655,7655,4.83,"30 Jun",2000,9655,7655,4.83,"30 Jun",2000,9376,7376,4.69,"30 Jun",2000,9376,7376,4.69,"30 Jun",2000,9500,7500,4.75,"30 Jun",2000,9500,7500,4.75,"30 Jun",2000,9749,7749,4.87,"30 Jun",2000,9749,7749,4.87,NA,NA,NA,NA,NA
"110","MUT COMM","30 Jun",5000,11550,6550,2.31,"30 Jun",5000,11550,6550,2.31,"30 Jun",5000,15893,10893,3.18,"30 Jun",5000,15893,10893,3.18,"30 Jun",5000,13010,8010,2.6,"30 Jun",5000,13010,8010,2.6,"30 Jun",5000,14703,9703,2.94,"30 Jun",5000,14703,9703,2.94,"30 Jun",5054,15931,10877,3.15,"30 Jun",5054,15931,10877,3.15,"30 Jun",5744,14344,8600,2.5
"111","NEW INDIA","31 Mar",5000,16513,11513,3.3,"31 Mar",5000,16513,11513,3.3,"31 Mar",5000,16965,11965,3.39,"31 Mar",5000,16965,11965,3.39,"31 Mar",5000,20356,15356,4.07,"31 Mar",5000,20356,15356,4.07,"31 Mar",5000,24806,19806,4.96,"31 Mar",5000,24806,19806,4.96,"31 Mar",6369,29218,22849,4.59,"31 Mar",6369,29218,22849,4.59,"31 Mar",9715,35930,26215,3.7
"112","NIPPONKOA","31 Mar",5000,15636,10636,3.13,"31 Mar",5000,15636,10636,3.13,"31 Mar",5000,17612,12612,3.52,"31 Mar",5000,17612,12612,3.52,"31 Mar",5000,19418,14418,3.88,"31 Mar",5000,19418,14418,3.88,"31 Mar",5000,20778,15778,4.16,"31 Mar",5000,20778,15778,4.16,"31 Mar",5000,21084,16084,4.22,"31 Mar",5000,21084,16084,4.22,"31 Mar",5000,21332,16332,4.27
"113","NORTH","31 Dec",5000,8328,3328,1.67,"31 Dec",5000,10007,5007,2,"31 Dec",5000,10007,5007,2,"31 Dec",5000,10724,5724,2.14,"31 Dec",5000,10724,5724,2.14,"31 Dec",6375,12177,5802,1.91,"31 Dec",6375,12177,5802,1.91,"31 Dec",5966,12677,6711,2.12,"31 Dec",5966,12677,6711,2.12,"31 Dec",5764,13753,7989,2.39,"31 Dec",5764,13753,7989,2.39
"114","NRG LONDON","31 Dec",5000,14333,9333,2.87,"31 Dec",5000,14395,9395,2.88,"31 Dec",5000,14395,9395,2.88,"31 Dec",5000,15962,10962,3.19,"31 Dec",5000,15962,10962,3.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","NRG VIC","31 Dec",5111,25900,20789,5.07,"31 Dec",5000,34217,29217,6.84,"31 Dec",5000,34217,29217,6.84,"31 Dec",5000,25322,20322,5.06,"31 Dec",5000,25322,20322,5.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","NZI AUS","30 Jun",40555,76448,35893,1.89,"30 Jun",40555,76448,35893,1.89,"30 Jun",38784,93654,54870,2.41,"30 Jun",38784,93654,54870,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","OPG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",53382,101976,48594,1.91
