"","Company","Date200506","MCR200506","Capital200506","Surplus200506","SolRatio200506","Date200512","MCR200512","Capital200512","Surplus200512","SolRatio200512","Date200606","MCR200606","Capital200606","Surplus200606","SolRatio200606","Date200612","MCR200612","Capital200612","Surplus200612","SolRatio200612","Date200706","MCR200706","Capital200706","Surplus200706","SolRatio200706","Date200712","MCR200712","Capital200712","Surplus200712","SolRatio200712","Date200806","MCR200806","Capital200806","Surplus200806","SolRatio200806","Date200812","MCR200812","Capital200812","Surplus200812","SolRatio200812","Date200906","MCR200906","Capital200906","Surplus200906","SolRatio200906","Date200912","MCR200912","Capital200912","Surplus200912","SolRatio200912","Date201006","MCR201006","Capital201006","Surplus201006","SolRatio201006"
"118","OPTUS","31 Mar",5000,12930,7930,2.59,"31 Mar",5000,12930,7930,2.59,"31 Mar",5000,7747,2747,1.55,"31 Mar",5000,7747,2747,1.55,"31 Mar",5000,14346,9346,2.87,"31 Mar",5000,14346,9346,2.87,"31 Mar",5000,18385,13385,3.68,"31 Mar",5000,18385,13385,3.68,"31 Mar",5000,12966,7966,2.59,"31 Mar",5000,12966,7966,2.59,"31 Mar",5000,14396,9396,2.88
"119","OVOID","30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","PACIFIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,"30 Jun",5000,9509,4509,1.9,"30 Jun",5000,9509,4509,1.9,"30 Jun",5000,10301,5301,2.06
"121","PIA","30 Jun",5000,19078,14078,3.82,"30 Jun",5000,19078,14078,3.82,"30 Jun",5000,20913,15913,4.18,"30 Jun",5000,20913,15913,4.18,"30 Jun",5000,23538,18538,4.71,"30 Jun",5000,23538,18538,4.71,"30 Jun",5000,22716,17716,4.54,"30 Jun",5000,22716,17716,4.54,"30 Jun",5000,25713,20713,5.14,"30 Jun",5000,25713,20713,5.14,"30 Jun",5000,29548,24548,5.91
"122","PIICA","30 Jun",15396,29255,13859,1.9,"30 Jun",15396,29255,13859,1.9,"30 Jun",23181,30240,7059,1.3,"30 Jun",23181,38628,15447,1.67,"30 Jun",25250,51704,26454,2.05,"30 Jun",25250,51704,26454,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","PLMI","31 Dec",5612,8737,3125,1.56,"31 Dec",5000,9753,4753,1.95,"31 Dec",5000,9753,4753,1.95,"31 Dec",10863,12270,1407,1.13,"31 Dec",10863,12270,1407,1.13,"31 Dec",12389,15762,3373,1.27,"31 Dec",12389,15762,3373,1.27,"31 Dec",10945,14976,4031,1.37,"31 Dec",10945,14976,4031,1.37,"31 Dec",10039,14185,4146,1.41,"31 Dec",10039,14185,4146,1.41
"124","PMI IND","31 Dec",39028,132993,93965,3.41,"31 Dec",27380,131224,103844,4.79,"31 Dec",27380,131224,103844,4.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","PMI MORT","31 Dec",195142,588573,393431,3.02,"31 Dec",250520,745892,495372,2.98,"31 Dec",250520,745892,495372,2.98,"31 Dec",752418,1042202,289784,1.39,"31 Dec",752418,1042202,289784,1.39,"31 Dec",873394,1132545,259151,1.3,"31 Dec",873394,1132545,259151,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","POSEIDON","30 Jun",2000,2951,951,1.48,"30 Jun",2000,2951,951,1.48,"30 Jun",2000,2879,879,1.49,"30 Jun",2000,2879,879,1.49,"30 Jun",2000,2830,830,1.42,"30 Jun",2000,2830,830,1.42,"30 Jun",2000,2853,853,1.43,"30 Jun",2000,2853,853,1.43,"30 Jun",2000,3008,1008,1.5,"30 Jun",2000,3008,1008,1.5,"30 Jun",2000,3104,1104,1.55
"127","PROGDIRECT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",5000,14106,9106,2.82,"31 Dec",5000,14106,9106,2.82
"128","QBE AUS","31 Dec",557183,986679,429496,1.77,"31 Dec",632046,1199782,567736,1.9,"31 Dec",632046,1199782,567736,1.9,"31 Dec",651891,1258502,606611,1.93,"31 Dec",651891,1258502,606611,1.93,"31 Dec",685867,1383575,697708,2.02,"31 Dec",685867,1383575,697708,2.02,"31 Dec",829425,1112948,283523,1.34,"31 Dec",829425,1112948,283523,1.34,"31 Dec",836800,1467769,630969,1.75,"31 Dec",836800,1467769,630969,1.75
"129","QBE INT","31 Dec",91674,336484,244810,3.67,"31 Dec",71361,376319,304958,5.27,"31 Dec",71361,376319,304958,5.27,"31 Dec",84450,408687,324237,4.84,"31 Dec",84450,408687,324237,4.84,"31 Dec",77799,461453,383654,5.93,"31 Dec",77799,461453,383654,5.93,"31 Dec",94778,429067,334290,4.53,"31 Dec",94778,429067,334290,4.53,"31 Dec",83110,412874,329764,4.97,"31 Dec",83110,412874,329764,4.97
"130","QBE LMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",589843,1115234,525391,1.89,"31 Dec",589843,1115234,525391,1.89,"31 Dec",783100,1295343,512243,1.65,"31 Dec",783100,1295343,512243,1.65
"131","RAA","30 Jun",8286,19494,11208,2.35,"30 Jun",8286,19494,11208,2.35,"30 Jun",9023,22366,13343,2.48,"30 Jun",9023,22366,13343,2.48,"30 Jun",10444,22534,12090,2.16,"30 Jun",10444,22534,12090,2.16,"30 Jun",11006,23234,12228,2.11,"30 Jun",11006,23234,12228,2.11,"30 Jun",12856,26140,13284,2.03,"30 Jun",12856,26140,13284,2.03,"30 Jun",14727,30671,15944,2.08
"132","RAC","31 Dec",22103,100716,78613,4.56,"31 Dec",24358,105569,81211,4.33,"31 Dec",24358,105569,81211,4.33,"31 Dec",25627,102121,76494,3.98,"30 Jun",25627,102121,76494,3.98,"30 Jun",27726,92770,65044,3.35,"30 Jun",30864,88690,57826,2.87,"30 Jun",30864,88690,57826,2.87,"30 Jun",35625,102220,66595,2.87,"30 Jun",35625,102220,66595,2.87,"30 Jun",44859,103484,58625,2.31
"133","RACQ","31 Dec",97496,163523,66027,1.68,"31 Dec",108120,185822,77702,1.72,"31 Dec",108120,185822,77702,1.72,"31 Dec",114954,222607,107653,1.94,"31 Dec",114954,222607,107653,1.94,"31 Dec",121325,236832,115507,1.95,"31 Dec",121325,236832,115507,1.95,"31 Dec",140298,209311,69013,1.49,"31 Dec",140298,209311,69013,1.49,"31 Dec",135239,295405,160166,2.18,"31 Dec",135239,295405,160166,2.18
"134","RACT","30 Jun",5939,9198,3259,1.55,"30 Jun",5939,9198,3259,1.55,"30 Jun",6487,9894,3407,1.53,"30 Jun",6487,9894,3407,1.53,"30 Jun",6944,14167,7223,2.04,"30 Jun",6944,14167,7223,2.04,"30 Jun",7395,11789,4394,1.59,"30 Jun",7395,11789,4394,1.59,"30 Jun",7659,13268,5609,1.73,"30 Jun",7659,13268,5609,1.73,"30 Jun",8251,15502,7251,1.88
"135","REALCOVER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,"30 Jun",2000,3489,1489,1.74,"30 Jun",2000,3489,1489,1.74,"30 Jun",2000,3452,1452,1.73
"136","RURAL","30 Jun",2000,1473,-527,0.74,"30 Jun",2000,1473,-527,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",2000,870,-1130,0.44,"30 Jun",2000,870,-1130,0.44,"30 Jun",2000,868,-1132,0.43,"30 Jun",2000,868,-1132,0.43,"30 Jun",2000,2200,200,1.1,"30 Jun",2000,2200,200,1.1,"30 Jun",NA,NA,NA,NA
"137","SCOR","31 Dec",8681,42584,33903,4.91,"31 Dec",11380,38704,27324,3.4,"31 Dec",11380,38704,27324,3.4,"31 Dec",14083,36054,21971,2.56,NA,NA,NA,NA,NA,"31 Dec",14787,39212,24425,2.65,"31 Dec",14787,39212,24425,2.65,"31 Dec",25884,49563,23679,1.91,"31 Dec",25884,49563,23679,1.91,"31 Dec",36975,75081,38106,2.03,"31 Dec",36975,75081,38106,2.03
"138","SCROSS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",5000,7451,2451,1.49,"30 Jun",5000,7451,2451,1.49,"30 Jun",5000,6877,1877,1.38
"139","SGIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,"30 Sep",190959,280544,89585,1.47,"30 Sep",190959,280544,89585,1.47,"30 Sep",201864,302809,100945,1.5,"30 Sep",201864,302809,100945,1.5,"30 Sep",332228,514756,182528,1.55,"30 Sep",332228,514756,182528,1.55
"140","SIRIUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",5451,8237,2786,1.51
"141","SOMPO","31 Dec",5000,26702,21702,5.34,"31 Dec",5075,26453,21378,5.21,"31 Dec",5075,26453,21378,5.21,"31 Dec",5000,17375,12375,3.48,"31 Dec",5000,17375,12375,3.48,"31 Dec",5000,19332,14332,3.87,"31 Dec",5000,19332,14332,3.87,NA,NA,NA,NA,NA,"31 Dec",5000,21262,16262,4.25,"31 Dec",5000,22112,17112,4.42,NA,NA,NA,NA,NA
"142","SOVEREIGN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,"30 Jun",5000,6205,1205,1.24
"143","SPHERE DRA","31 Dec",2000,4141,2141,2.07,"31 Dec",2000,4439,2439,2.22,"31 Dec",2000,4439,2439,2.22,"31 Dec",2000,4219,2219,2.11,"31 Dec",2000,4219,2219,2.11,"31 Dec",2000,4337,2337,2.17,"31 Dec",2000,4337,2337,2.17,"31 Dec",2000,4120,2120,2.06,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","SR INT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA
"145","SSL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",24078,105996,81918,4.4,"31 Dec",24078,105996,81918,4.4,"31 Dec",14297,123422,109125,8.63,"31 Dec",14297,123422,109125,8.63,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","ST ANDREW","31 Dec",5000,15646,10646,3.13,"31 Dec",5000,19967,14967,3.99,"31 Dec",5000,19967,14967,3.99,"31 Dec",5000,10602,5602,2.12,"31 Dec",5000,10602,5602,2.12,"31 Dec",5000,15610,10610,3.12,NA,NA,NA,NA,NA,"30 Jun",5000,15170,10170,3.03,"30 Jun",5307,16408,11101,3.09,"30 Jun",5307,16408,11101,3.09,"30 Jun",6285,17179,10894,2.73
"147","ST PAUL","30 Sep",17934,32027,14093,1.79,"30 Sep",14052,27485,13433,1.96,"30 Sep",14052,27485,13433,1.96,"30 Sep",12589,29932,17343,2.38,"30 Sep",12589,29932,17343,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","STATECOVER","30 Jun",19293,33405,14112,1.73,"30 Jun",19293,33405,14112,1.73,"30 Jun",22260,44789,22529,2.01,"30 Jun",22260,44789,22529,2.01,"30 Jun",25111,46689,21578,1.86,"30 Jun",25111,46689,21578,1.86,"30 Jun",28525,43945,15420,1.54,"30 Jun",28525,43945,15420,1.54,"30 Jun",30513,55058,24545,1.8,"30 Jun",30513,55058,24545,1.8,"30 Jun",35920,75366,39446,2.1
"149","STEWART","31 Dec",5000,6135,1135,1.23,"31 Dec",5000,7864,2864,1.57,"31 Dec",5000,7864,2864,1.57,"31 Dec",5000,7412,2412,1.48,"31 Dec",5000,7412,2412,1.48,"31 Dec",5000,7033,2033,1.41,"31 Dec",5000,7033,2033,1.41,"31 Dec",5000,8403,3403,1.68,"31 Dec",5000,8403,3403,1.68,"31 Dec",5000,7925,2925,1.59,"31 Dec",5000,7925,2925,1.59
"150","SUNCORP","30 Jun",590730,1361475,770745,2.3,"30 Jun",590730,1361475,770745,2.3,"30 Jun",679339,1544762,865423,2.27,"30 Jun",679339,1544762,865423,2.27,"30 Jun",695783,1464273,768490,2.1,"30 Jun",695783,1464273,768490,2.1,"30 Jun",588379,1387587,799208,2.36,"30 Jun",588379,1387587,799208,2.36,"30 Jun",605466,1384841,779375,2.29,"30 Jun",605466,1384841,779375,2.29,"30 Jun",593203,1238145,644942,2.09
"151","SUNDERLAND","31 Dec",5000,8054,3054,1.61,"31 Dec",5000,11603,6603,2.32,"31 Dec",5000,12088,7088,2.42,"31 Dec",5000,6513,1513,1.3,"31 Dec",5000,6513,1513,1.3,"31 Dec",5000,9426,4426,1.89,"31 Dec",5000,9426,4426,1.89,"31 Dec",5000,6987,1987,1.4,"31 Dec",5000,6987,1987,1.4,"31 Dec",5244,6200,956,1.18,"31 Dec",5244,6200,956,1.18
"152","SUNSTATE","30 Jun",5937,8267,2330,1.39,"30 Jun",5937,8267,2330,1.39,"30 Jun",8628,11079,2451,1.28,"30 Jun",8628,11079,2451,1.28,"30 Jun",10739,12975,2236,1.21,"30 Jun",10739,12975,2236,1.21,"30 Jun",13232,17240,4008,1.3,"30 Jun",13232,17240,4008,1.3,"30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","SWANN","30 Jun",48385,105334,56949,2.18,"30 Jun",48385,105334,56949,2.18,"30 Jun",59106,115888,56782,1.96,"30 Jun",59106,115888,56782,1.96,"30 Jun",50219,149768,99549,2.98,"30 Jun",50219,149768,99549,2.98,"30 Jun",41063,132526,91463,3.23,"30 Jun",41063,132526,91463,3.23,"30 Jun",35698,120618,84920,3.38,"30 Jun",35698,120618,84920,3.38,"30 Jun",40334,129782,89448,3.22
"154","SWISS RE","31 Dec",115483,471490,356007,4.08,"31 Dec",295138,578101,282963,1.96,"31 Dec",295138,578101,282963,1.96,"31 Dec",271462,550608,279146,2.03,"31 Dec",271462,550608,279146,2.03,"31 Dec",283666,455800,172134,1.61,"31 Dec",283666,455800,172134,1.61,"31 Dec",283347,474072,190725,1.67,"31 Dec",283347,474072,190725,1.67,"31 Dec",255073,591346,336273,2.32,"31 Dec",255073,591346,336273,2.32
"155","TAXI","30 Jun",284,1631,1347,5.73,"30 Jun",284,1631,1347,5.73,"30 Jun",306,1924,1618,6.29,"30 Jun",306,1924,1618,6.29,"30 Jun",334,2076,1742,6.22,"30 Jun",334,2076,1742,6.22,"30 Jun",389,2404,2015,6.18,"30 Jun",389,2404,2015,6.18,"30 Jun",312,2464,2152,7.9,"30 Jun",312,2464,2152,7.9,NA,NA,NA,NA,NA
"156","TGI AUS","31 Dec",25239,74254,49015,2.94,"31 Dec",43829,78653,34824,1.79,"31 Dec",43829,78653,34824,1.79,"31 Dec",19769,86099,66330,4.36,"31 Dec",19769,86099,66330,4.36,"31 Dec",15880,99856,83976,6.29,"31 Dec",15880,99856,83976,6.29,"31 Dec",12913,71294,58381,5.52,"31 Dec",12913,71294,58381,5.52,"31 Dec",12615,37853,25238,3,"31 Dec",12615,37853,25238,3
"157","TMIC","30 Jun",5000,6961,1961,1.39,"30 Jun",5000,6961,1961,1.39,"30 Jun",8476,12260,3784,1.45,"30 Jun",8476,12260,3784,1.45,"30 Jun",11823,20211,8388,1.71,"30 Jun",11823,20211,8388,1.71,"30 Jun",14637,22267,7630,1.52,"30 Jun",14637,22267,7630,1.52,"30 Jun",6270,13216,6946,2.11,"30 Jun",7596,12571,4975,1.65,"30 Jun",6412,23863,17451,3.72
"158","TOKIO","31 Mar",11366,62424,51058,5.49,"31 Mar",11366,62424,51058,5.49,"31 Mar",20496,70991,50495,3.46,"31 Mar",20496,70991,50495,3.46,"31 Mar",18241,75910,57669,4.16,"31 Mar",18241,75910,57669,4.16,"31 Mar",19373,76731,57358,3.96,"31 Mar",19373,76731,57358,3.96,"31 Mar",23147,65832,42685,2.84,"31 Mar",23147,65832,42685,2.84,"31 Mar",21625,69513,47888,3.21
"160","TOWER","30 Sep",5000,25697,20697,5.14,"30 Sep",5575,27012,21437,4.85,"30 Sep",5575,27012,21437,4.85,"30 Sep",5541,28974,23433,5.23,"30 Sep",5541,28974,23433,5.23,"30 Sep",5578,30169,24591,5.41,"30 Sep",5578,30169,24591,5.41,"30 Sep",9622,30291,20669,3.15,"30 Sep",9622,30291,20669,3.15,"30 Sep",9871,31242,21371,3.17,"30 Sep",9871,31242,21371,3.17
"161","TRAVELERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Sep",8094,46799,38705,5.78,"30 Sep",5694,35823,30129,6.29,"30 Sep",5694,35823,30129,6.29,"30 Sep",5000,37148,32148,7.43,"30 Sep",5000,37148,32148,7.43
"162","TRC","31 Dec",6682,21219,14537,3.18,"31 Dec",8450,27657,19207,3.27,"31 Dec",8450,27657,19207,3.27,"31 Dec",13017,33822,20805,2.6,"31 Dec",13017,33822,20805,2.6,"31 Dec",13569,43691,30122,3.22,"31 Dec",13569,43691,30122,3.22,"31 Dec",14044,54882,40838,3.91,"31 Dec",14044,54882,40838,3.91,"31 Dec",35650,64997,29347,1.82,"31 Dec",35650,64997,29347,1.82
"163","TTCLUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,"31 Dec",5000,5191,191,1.04,"31 Dec",5000,5191,191,1.04
"164","VERO","31 Dec",669144,1633279,964135,2.44,"31 Dec",718057,2017761,1299704,2.81,"31 Dec",718057,2017761,1299704,2.81,"31 Dec",690479,1721588,1031109,2.49,"30 Jun",690479,1721588,1031109,2.49,"30 Jun",701469,1816773,1115304,2.59,"30 Jun",678326,883326,205000,1.3,"30 Jun",678326,883326,205000,1.3,"30 Jun",845532,2483956,1638424,2.94,"30 Jun",845532,2483956,1638424,2.94,"30 Jun",816311,2343263,1526952,2.87
"165","VERO LMI","31 Dec",78206,211027,132821,2.7,"31 Dec",59131,243158,184027,4.11,"31 Dec",59131,243158,184027,4.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","VIRGINIA","31 Dec",5000,11749,6749,2.35,"31 Dec",5000,17233,12233,3.45,"31 Dec",5000,17233,12233,3.45,"31 Dec",5000,20958,15958,4.19,"31 Dec",5000,20958,15958,4.19,"31 Dec",5000,21973,16973,4.39,"31 Dec",5000,21973,16973,4.39,"31 Dec",5000,20857,15857,4.17,"31 Dec",5000,20857,15857,4.17,"31 Dec",6506,17035,10529,2.62,"31 Dec",6506,17035,10529,2.62
"167","WESFARMERS","30 Jun",35675,77171,41496,2.16,"30 Jun",35675,77171,41496,2.16,"30 Jun",37859,75840,37981,2,"30 Jun",37859,75840,37981,2,"30 Jun",39262,76396,37134,1.95,"30 Jun",39262,76396,37134,1.95,"30 Jun",42241,98899,56658,2.34,"30 Jun",42241,98899,56658,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","WESTERN","31 Dec",5000,11403,6403,2.28,"31 Dec",5000,18105,13105,3.62,"31 Dec",5000,18105,13105,3.62,"31 Dec",51007,40356,-10651,0.79,"31 Dec",51007,40356,-10651,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","WESTPAC","30 Sep",22468,59985,37517,2.67,"30 Sep",27025,66659,39634,2.47,"30 Sep",27025,66659,39634,2.47,"30 Sep",29029,63191,34162,2.18,"30 Sep",29029,63191,34162,2.18,"30 Sep",32860,76774,43914,2.34,"30 Sep",32860,76774,43914,2.34,"30 Sep",32823,77282,44459,2.35,"30 Sep",32823,77282,44459,2.35,"30 Sep",35383,71277,35894,2.01,"30 Sep",35383,71277,35894,2.01
"170","WESTPORT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",76166,251041,174875,3.3,"31 Dec",76166,251041,174875,3.3,"31 Dec",81803,190495,108692,2.33,"31 Dec",81803,190495,108692,2.33,"31 Dec",70467,176596,106129,2.51,"31 Dec",70467,176596,106129,2.51
"171","WGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",116573,189649,73076,1.63,"30 Jun",181527,290309,108782,1.6,"30 Jun",181527,290309,108782,1.6,"30 Jun",186607,316090,129483,1.69
"172","WPAC LMI","30 Sep",34584,70007,35423,2.02,"30 Sep",39948,101112,61164,2.53,"30 Sep",39948,101112,61164,2.53,"30 Sep",107812,147547,39735,1.37,"30 Sep",107812,147547,39735,1.37,"30 Sep",131659,178264,46605,1.35,"30 Sep",131659,178264,46605,1.35,"30 Sep",159119,208134,49015,1.31,"30 Sep",159119,208134,49015,1.31,"30 Sep",277096,358974,81878,1.3,"30 Sep",277096,358974,81878,1.3
"173","WRBERKLEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",8282,24785,16503,2.99,"31 Dec",8282,24785,16503,2.99,"31 Dec",13615,29649,16034,2.18,"31 Dec",13615,29649,16034,2.18,"31 Dec",12530,28946,16416,2.31,"31 Dec",12530,28946,16416,2.31
"174","XL INS","31 Dec",30533,44712,14179,1.46,"31 Dec",22922,59614,36692,2.6,"31 Dec",22922,59614,36692,2.6,"31 Dec",23201,70114,46913,3.02,"31 Dec",23201,70114,46913,3.02,"31 Dec",21568,66620,45052,3.09,"31 Dec",21568,66620,45052,3.09,"31 Dec",25405,73768,48363,2.9,"31 Dec",25405,73768,48363,2.9,"31 Dec",27939,61201,33262,2.19,"31 Dec",27939,61201,33262,2.19
"175","XL RE","31 Dec",7652,14178,6526,1.85,"31 Dec",7394,20007,12613,2.71,"31 Dec",7394,20007,12613,2.71,"31 Dec",5838,25924,20086,4.44,"31 Dec",5838,25924,20086,4.44,"31 Dec",5000,34404,29404,6.88,"31 Dec",5000,34404,29404,6.88,"31 Dec",5000,35197,30197,7.04,"31 Dec",5000,35197,30197,7.04,"31 Dec",NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA
"176","YOUI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",5000,20922,15922,4.18,"30 Jun",5000,20922,15922,4.18,"30 Jun",5000,23109,18109,4.62,"30 Jun",5000,23109,18109,4.62,"30 Jun",7561,20058,12497,2.65
"177","ZURICH","31 Dec",341375,608875,267500,1.78,"31 Dec",314899,725343,410444,2.3,"31 Dec",314899,725343,410444,2.3,"31 Dec",342182,799331,457149,2.34,"31 Dec",342182,799831,457649,2.19,"31 Dec",311439,666564,355125,2.14,"31 Dec",311439,666564,355125,2.14,"31 Dec",346953,585267,238314,1.69,"31 Dec",346953,585267,238314,1.69,"31 Dec",570292,648208,77916,1.14,"31 Dec",570292,648208,77916,1.14
