"","Company","Date200506","Invest200506","TotalAsset200506","ClaimReserv200506","PremLiab200506","TotalLiab200506","Equity200506","Date200512","Invest200512","TotalAsset200512","ClaimReserv200512","PremLiab200512","TotalLiab200512","Equity200512","Date200606","Invest200606","TotalAsset200606","ClaimReserv200606","PremLiab200606","TotalLiab200606","Equity200606","Date200612","Invest200612","TotalAsset200612","ClaimReserv200612","PremLiab200612","TotalLiab200612","Equity200612","Date200706","Invest200706","TotalAsset200706","ClaimReserv200706","PremLiab200706","TotalLiab200706","Equity200706","Date200712","Invest200712","TotalAsset200712","ClaimReserv200712","PremLiab200712","TotalLiab200712","Equity200712","Date200806","Invest200806","TotalAsset200806","ClaimReserv200806","PremLiab200806","TotalLiab200806","Equity200806","Date200812","Invest200812","TotalAsset200812","ClaimReserv200812","PremLiab200812","TotalLiab200812","Equity200812","Date200906","Invest200906","TotalAsset200906","ClaimReserv200906","PremLiab200906","TotalLiab200906","Equity200906","Date200912","Invest200912","TotalAsset200912","ClaimReserv200912","PremLiab200912","TotalLiab200912","Equity200912","Date201006","Invest201006","TotalAsset201006","ClaimReserv201006","PremLiab201006","TotalLiab201006","Equity201006"
"85","IAL","30 Jun",7817428,10331321,3964987,1355204,6704752,3626569,"30 Jun",7817428,10331321,3964987,1355204,6704752,3626569,"30 Jun",7454788,10039998,3965868,1233555,6902009,3137990,"30 Jun",7454788,10039998,3965868,1233555,6902009,3137990,"30 Jun",7355483,10530093,4335986,1197546,7289651,3240442,"30 Jun",7355483,10530093,4335986,1197546,7289651,3240442,"30 Jun",7257005,9953128,3944908,1240192,6917856,3035272,"30 Jun",7257005,9953128,3944908,1240192,6917856,3035272,"30 Jun",7767443,10569442,4185076,1354153,7643677,2925766,"30 Jun",7767443,10566962,4185076,1354153,7635412,2931550,"30 Jun",7863022,10659254,4442173,1450782,7340913,3318340
"86","IMA","30 Jun",1430539,2239907,462197,986857,1667164,572743,"30 Jun",1430539,2239907,462197,986857,1667164,572743,"30 Jun",1418821,2129502,390871,856660,1496215,633288,"30 Jun",1418821,2129502,390871,856660,1496215,633288,"30 Jun",1383913,2486784,718765,867083,1881413,605371,"30 Jun",1383913,2486784,718765,867083,1881413,605371,"30 Jun",1336718,2160638,507838,921158,1654760,505879,"30 Jun",1336718,2160638,507838,921158,1654760,505879,"30 Jun",1482926,2299066,490784,934520,1695227,603839,"30 Jun",1482926,2299066,490784,934520,1695227,603839,"30 Jun",1589703,2602299,619972,939137,1976010,626288
"87","ING","31 Dec",29282,40481,2727,11167,19281,21200,"31 Dec",42202,56159,4422,13977,27143,29016,"31 Dec",42202,56159,4422,13977,27143,29016,"31 Dec",66722,101342,8266,33056,59619,41723,"31 Dec",66722,101342,8266,33056,59619,41723,"31 Dec",90908,130070,14029,39900,71950,58120,"31 Dec",90908,130070,14029,39900,71950,58120,"31 Dec",64276,146077,17274,59841,85834,60243,"31 Dec",64276,146077,17274,59841,85834,60243,"31 Dec",100747,236627,25658,88702,134651,101976,NA,NA,NA,NA,NA,NA,NA
"88","INTHANN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",0,11795,4,2155,5060,6735,"31 Dec",0,11795,4,2155,5060,6735,"31 Dec",6928,32295,2491,9482,24065,8230,"31 Dec",6928,32295,2491,9482,24065,8230
"89","KEMPER INS","31 Dec",8322,8679,5038,0,5122,3557,"31 Dec",4382,4627,713,0,1070,3557,"31 Dec",4382,4627,713,0,1070,3557,"31 Dec",3964,4341,669,0,760,3581,"31 Dec",3964,4341,669,0,760,3581,"31 Dec",4115,4295,514,0,564,3731,"31 Dec",4115,4295,514,0,564,3731,"31 Dec",4000,4329,1278,0,1848,2481,"31 Dec",4000,4329,1278,0,1848,2481,"31 Dec",3483,3752,961,0,1006,2746,"31 Dec",3483,3752,961,0,1006,2746
"90","LAWCOVER","30 Jun",96030,175544,52435,56371,156731,18813,"30 Jun",96030,175544,52435,56371,156731,18813,"30 Jun",141894,235025,88405,61478,206866,28159,"30 Jun",141894,235025,88405,61478,206866,28159,"30 Jun",168863,276010,119693,60910,236480,39530,"30 Jun",168863,276010,119693,60910,236480,39530,"30 Jun",174202,299784,136971,65492,251814,47970,"30 Jun",174202,299784,136971,65492,251814,47970,"30 Jun",198801,336478,158168,64743,272629,63849,"30 Jun",198801,336478,158168,64743,272629,63849,"30 Jun",226291,351517,166070,65414,280564,70953
"91","LIBERTY","31 Dec",271479,581718,341471,106671,495772,85946,"31 Dec",319562,615734,382317,85474,519958,95776,"31 Dec",319562,615734,382317,85474,519958,95776,"31 Dec",356755,686850,430452,84736,572067,114783,"31 Dec",356755,686850,430452,84736,572067,114783,"31 Dec",404248,735306,436752,86570,603363,131943,"31 Dec",404248,735306,436752,86570,603363,131943,"31 Dec",460411,800309,411737,112264,580974,219335,"31 Dec",460411,800309,411737,112264,580974,219335,"31 Dec",481792,877701,472773,129576,638204,239497,"31 Dec",481792,877701,472773,129576,638204,239497
"92","LIONHEART","30 Jun",2833,4403,256,1600,3309,1094,"30 Jun",2833,4403,256,1600,3309,1094,"30 Jun",2835,3357,258,479,2396,961,"30 Jun",2835,3357,258,479,2396,961,"30 Jun",NA,NA,NA,NA,NA,NA,"30 Jun",2834,2962,218,0,2214,748,"30 Jun",6387,6461,0,0,2095,4366,"30 Jun",6387,6461,0,0,2095,4366,"30 Jun",NA,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,NA,NA
"93","LUMLEY GEN","30 Jun",282941,716410,292404,192547,597950,118460,"30 Jun",282941,716410,292404,192547,597950,118460,"30 Jun",290686,726330,351328,165880,609625,116705,"30 Jun",290686,726330,351328,165880,609625,116705,"30 Jun",378578,874927,393233,248876,763472,111455,"30 Jun",378578,874927,393233,248876,763472,111455,"30 Jun",551992,1204183,480595,386715,1003382,200801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","MASTER BUT","01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA
"95","MDA","30 Jun",67256,164132,90323,15614,132508,31624,"30 Jun",67256,164132,90323,15614,132508,31624,"30 Jun",114396,209599,119341,14901,162974,46625,"30 Jun",114396,209599,119341,14901,162974,46625,"30 Jun",161570,244911,136961,17163,182705,62206,"30 Jun",161570,244911,136961,17163,182705,62206,"30 Jun",177622,274833,160366,21925,208345,66488,"30 Jun",177622,274833,160366,21925,208345,66488,"30 Jun",179174,309693,179841,21593,232803,76890,"30 Jun",179174,309693,179841,21593,232803,76890,"30 Jun",207169,315134,170145,20339,217536,97598
"96","MDU","30 Jun",0,6072,1044,0,1044,5028,"30 Jun",0,6072,1044,0,1044,5028,"30 Jun",0,5761,455,0,456,5305,"30 Jun",0,5761,455,0,456,5305,"30 Jun",0,5963,415,0,415,5548,"30 Jun",0,5963,415,0,415,5548,"30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","METLIFE","31 Dec",18537,20688,2672,0,2680,18008,"31 Dec",0,9315,2912,0,2933,6382,"31 Dec",0,9315,2912,0,2933,6382,"31 Dec",0,9771,2911,0,3037,6734,"31 Dec",0,9771,2911,0,3037,6734,"31 Dec",0,9971,2696,0,2824,7147,"31 Dec",0,9971,2696,0,2824,7147,"31 Dec",0,10310,2688,0,2732,7578,"31 Dec",0,10310,2688,0,2732,7578,"31 Dec",0,10757,2670,0,2727,8030,"31 Dec",0,10757,2670,0,2727,8030
"98","MGIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,"31 Dec",123053,140485,53,2217,8738,131748,"31 Dec",123053,140485,53,2217,8738,131748,"31 Dec",144083,164226,2254,11820,21225,143001,"31 Dec",144083,164226,2254,11820,21225,143001,"31 Dec",146466,155133,1875,4935,12818,142315,"31 Dec",146466,155133,1875,4935,12818,142315
"99","MIA","30 Jun",53788,105570,53177,16504,84726,20844,"30 Jun",53788,105570,53177,16504,84726,20844,"30 Jun",50698,143087,76222,21883,111908,31179,"30 Jun",50698,143087,76222,21883,111908,31179,"30 Jun",85993,174792,92267,23422,134746,40046,"30 Jun",85993,174792,92267,23422,134746,40046,"30 Jun",113019,187491,103145,20563,137824,49667,"30 Jun",113019,187491,103145,20563,137824,49667,"30 Jun",121742,196125,112586,19956,141205,54920,"30 Jun",121742,196125,112586,19956,141205,54920,"30 Jun",134936,210761,111010,21611,141926,68835
"100","MIPSI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",107924,132450,49552,8136,74214,58236,"30 Jun",111372,171786,72352,14049,103653,68134,"30 Jun",111372,171786,72352,14049,103653,68134,"30 Jun",120879,180102,81154,16856,110587,69515,"30 Jun",120879,180102,81154,16856,110587,69515,"30 Jun",157643,200098,90731,16036,123148,76950
"101","MITSUI","31 Mar",90682,108159,17103,11724,29946,78213,"31 Mar",90682,108159,17103,11724,29946,78213,"31 Mar",96931,114474,17845,10660,29969,84505,"31 Mar",96931,114474,17845,10660,29969,84505,"31 Mar",108451,125122,16576,11058,32840,92282,"31 Mar",108451,125122,16576,11058,32840,92282,"31 Mar",95504,110540,20156,11701,33705,76835,"31 Mar",95504,110540,20156,11701,33705,76835,"31 Mar",85000,117128,26309,14439,41812,75316,"31 Mar",85000,117128,26309,14439,41812,75316,"31 Mar",85000,121713,28627,14479,45020,76693
"102","MMIA","31 Dec",569569,978762,485049,192638,769980,208782,"31 Dec",533329,671816,394205,1560,443629,228187,"31 Dec",533329,671816,394205,1560,443629,228187,"31 Dec",586313,689655,301545,375,505942,183713,"31 Dec",586313,689655,301545,375,505942,183713,"31 Dec",601697,715823,258261,71,502805,213018,"31 Dec",601697,715823,258261,71,502805,213018,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","MRMPL","30 Jun",20358,23093,55,6277,8580,14513,"30 Jun",20358,23093,55,6277,8580,14513,"30 Jun",20699,23119,1132,5149,8319,14800,"30 Jun",20699,23119,1132,5149,8319,14800,"30 Jun",18877,22710,857,5502,7796,14914,"30 Jun",18877,22710,857,5502,7796,14914,"30 Jun",18652,22832,687,5626,7541,15291,"30 Jun",18652,22832,687,5626,7541,15291,"30 Jun",11846,26283,1204,6050,7807,18476,"30 Jun",11846,26283,1204,6050,7807,18476,"30 Jun",27207,31214,1520,5496,8187,23027
"104","MTA","30 Jun",27342,30147,1410,8008,12377,17770,"30 Jun",27342,30147,1410,8008,12377,17770,"30 Jun",31073,33694,1515,9363,14927,18767,"30 Jun",31073,33694,1515,9363,14927,18767,"30 Jun",35028,37802,1354,9227,15534,22268,"30 Jun",35028,37802,1354,9227,15534,22268,"30 Jun",29822,36238,1354,11407,17094,19144,"30 Jun",29822,36238,1354,11407,17094,19144,"30 Jun",27821,35838,1736,11370,15938,19900,"30 Jun",27821,35838,1736,11370,15938,19900,"30 Jun",32993,37034,1762,11269,17484,19550
"105","MUNICH RE","31 Dec",1527477,1897370,976825,254175,1394836,502534,"31 Dec",1698368,2236107,986779,366641,1786086,450021,"31 Dec",1698368,2236107,986779,366641,1786086,450021,"31 Dec",1618062,2241913,1028486,426779,1766899,475014,"31 Dec",1618062,2241913,1028486,426779,1766899,475014,"31 Dec",1694363,2563633,1207989,469174,2087485,476148,"31 Dec",1694363,2563633,1207989,469174,2087485,476148,"31 Dec",1782705,2817481,1340839,597318,2319123,498358,"31 Dec",1782705,2817481,1340839,597318,2319123,498358,"31 Dec",1840027,2921730,1259987,675673,2391221,530509,"31 Dec",1840027,2921730,1259987,675673,2391221,530509
"106","MUNICIPAL","30 Jun",11231,11244,2707,0,2715,8529,"30 Jun",11231,11244,2707,0,2715,8529,"30 Jun",12238,12246,2582,0,2591,9655,"30 Jun",12238,12246,2582,0,2591,9655,"30 Jun",11902,11910,2525,0,2534,9376,"30 Jun",11902,11910,2525,0,2534,9376,"30 Jun",11596,11599,2089,0,2099,9500,"30 Jun",11596,11599,2089,0,2099,9500,"30 Jun",9751,9753,0,0,4,9749,"30 Jun",9751,9753,0,0,4,9749,NA,NA,NA,NA,NA,NA,NA
"107","MUT COMM","30 Jun",24610,51636,13709,20001,43072,8564,"30 Jun",24610,51636,13709,20001,43072,8564,"30 Jun",25553,53470,12807,17092,40753,12717,"30 Jun",25553,53470,12807,17092,40753,12717,"30 Jun",23411,51093,13124,18108,37535,13558,"30 Jun",23411,51093,13124,18108,37535,13558,"30 Jun",25203,51970,12614,17827,36441,15528,"30 Jun",25203,51970,12614,17827,36441,15528,"30 Jun",26068,55212,13049,19402,38557,16655,"30 Jun",26068,55212,13049,19402,38557,16655,"30 Jun",28139,66127,19609,23365,50877,15249
"108","NEW INDIA","31 Mar",19756,22737,3809,1543,6572,16165,"31 Mar",19756,22737,3809,1543,6572,16165,"31 Mar",20855,26660,3358,5258,9932,16728,"31 Mar",20855,26660,3358,5258,9932,16728,"31 Mar",23988,37435,4460,12143,17882,19553,"31 Mar",23988,37435,4460,12143,17882,19553,"31 Mar",26680,33159,5070,2073,9218,23941,"31 Mar",26680,33159,5070,2073,9218,23941,"31 Mar",35013,49202,15147,3525,20918,28284,"31 Mar",35013,49202,15147,3525,20918,28284,"31 Mar",42712,59040,13917,6734,24784,34256
"109","NIPPONKOA","31 Mar",0,27745,5351,3499,11647,16098,"31 Mar",0,27745,5351,3499,11647,16098,"31 Mar",0,41853,16453,3274,23817,18036,"31 Mar",0,41853,16453,3274,23817,18036,"31 Mar",0,40273,14464,3724,20353,19920,"31 Mar",0,40273,14464,3724,20353,19920,"31 Mar",0,45809,19731,3096,24626,21183,"31 Mar",0,45809,19731,3096,24626,21183,"31 Mar",0,45267,18641,3298,23705,21562,"31 Mar",0,45267,18641,3298,23705,21562,"31 Mar",0,35429,6514,4787,13533,21896
"110","NORTH","31 Dec",15563,34366,23470,0,23669,10697,"31 Dec",15692,34841,22664,0,22949,11892,"31 Dec",15692,34841,22664,0,22949,11892,"31 Dec",16624,20498,7349,0,7836,12663,"31 Dec",16624,20498,7349,0,7836,12663,"31 Dec",17724,20494,6077,0,6570,13924,"31 Dec",17724,20494,6077,0,6570,13924,"31 Dec",18431,20753,6076,0,6310,14443,"31 Dec",18431,20753,6076,0,6310,14443,"31 Dec",19186,21110,5512,0,5746,15364,"31 Dec",19186,21110,5512,0,5746,15364
"111","NRG LONDON","31 Dec",19004,20999,6518,0,7014,13985,"31 Dec",18732,21320,7032,0,7211,14109,"31 Dec",18732,21320,7032,0,7211,14109,"31 Dec",16573,18913,1909,0,2757,16156,"31 Dec",16573,18913,1909,0,2757,16156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","NRG VIC","31 Dec",46987,58058,31764,0,33044,25014,"31 Dec",40365,47146,11788,0,12782,34364,"31 Dec",40365,47146,11788,0,12782,34364,"31 Dec",34191,49003,17873,0,19467,29536,"31 Dec",34191,49003,17873,0,19467,29536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","NZI AUS","30 Jun",249262,462590,380461,0,408127,54463,"30 Jun",249262,462590,380461,0,408127,54463,"30 Jun",261291,465126,346154,0,379782,85344,"30 Jun",261291,465126,346154,0,379782,85344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","OPG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",100747,236627,25658,88702,134651,101976
"115","OPTUS","31 Mar",17959,30307,2782,1401,17377,12930,"31 Mar",17959,30307,2782,1401,17377,12930,"31 Mar",13914,15458,2929,1439,7675,7783,"31 Mar",13914,15458,2929,1439,7675,7783,"31 Mar",22739,28439,2534,1367,14044,14395,"31 Mar",22739,28439,2534,1367,14044,14395,"31 Mar",17828,34373,2230,1110,15950,18419,"31 Mar",17828,34373,2230,1110,15950,18419,"31 Mar",17947,25293,4301,2560,12283,13011,"31 Mar",17947,25293,4301,2560,12283,13011,"31 Mar",25101,32548,4702,2405,18128,14419
"116","OVOID","30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","PACIFIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,NA,NA,"30 Jun",8165,11624,487,1399,2115,9509,"30 Jun",8165,11624,487,1399,2115,9509,"30 Jun",12046,14744,2529,1447,4443,10301
"118","PIA","30 Jun",30516,52395,35803,0,36445,15950,"30 Jun",30516,52395,35803,0,36445,15950,"30 Jun",34447,51397,31037,0,33821,17576,"30 Jun",34447,51397,31037,0,33821,17576,"30 Jun",37287,51489,29852,0,31251,20238,"30 Jun",37287,51489,29852,0,31251,20238,"30 Jun",33780,48002,27739,0,28193,19809,"30 Jun",33780,48002,27739,0,28193,19809,"30 Jun",11006,43841,16325,0,21322,22519,"30 Jun",11006,43841,16325,0,21322,22519,"30 Jun",5000,46189,12481,0,19130,27059
"119","PIICA","30 Jun",118300,202268,91046,12500,170488,31780,"30 Jun",118300,202268,91046,12500,170488,31780,"30 Jun",145188,211566,97200,20700,176467,35099,"30 Jun",145188,211566,97200,20700,168079,43487,"30 Jun",158028,229705,113400,21100,174614,55091,"30 Jun",158028,229705,113400,21100,174614,55091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","PLMI","31 Dec",8356,12813,73,674,4076,8737,"31 Dec",10231,14555,237,931,4802,9753,"31 Dec",10231,14555,237,931,4802,9753,"31 Dec",12875,17655,293,904,5385,12270,"31 Dec",12875,17655,293,904,5385,12270,"31 Dec",17555,22334,251,1358,6572,15762,"31 Dec",17555,22334,251,1358,6572,15762,"31 Dec",6303,21953,439,2333,6977,14976,"31 Dec",6303,21953,439,2333,6977,14976,"31 Dec",15493,21221,227,2364,7036,14185,"31 Dec",15493,21221,227,2364,7036,14185
"121","PMI IND","31 Dec",170619,192791,3354,38325,54048,138743,"31 Dec",172790,179087,1421,3052,48568,130519,"31 Dec",172790,179087,1421,3052,48568,130519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","PMI MORT","31 Dec",749017,837607,10564,84766,251287,586320,"31 Dec",955721,1067229,14907,136921,321337,745892,"31 Dec",955721,1067229,14907,136921,321337,745892,"31 Dec",1280609,1436548,58048,158883,394346,1042202,"31 Dec",1280609,1436548,58048,158883,394346,1042202,"31 Dec",1456561,1591068,85645,182023,458523,1132545,"31 Dec",1456561,1591068,85645,182023,458523,1132545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","POSEIDON","30 Jun",2555,3216,185,0,252,2964,"30 Jun",2555,3216,185,0,252,2964,"30 Jun",2426,3144,225,0,265,2879,"30 Jun",2426,3144,225,0,265,2879,"30 Jun",2346,3075,184,0,245,2830,"30 Jun",2346,3075,184,0,245,2830,"30 Jun",2321,3036,119,0,183,2853,"30 Jun",2321,3036,119,0,183,2853,"30 Jun",2458,3287,158,0,278,3009,"30 Jun",2458,3287,158,0,278,3009,"30 Jun",2962,3328,125,0,224,3104
"124","PROGDIRECT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",14797,15937,8,116,1831,14106,"31 Dec",14797,15937,8,116,1831,14106
"125","QBE AUS","31 Dec",2805378,4467763,2410437,607760,3401018,1066745,"31 Dec",3143817,5091361,2475673,773860,3811280,1280081,"31 Dec",3143817,5091361,2475673,773860,3811280,1280081,"31 Dec",3200306,5158183,2500069,846339,3777590,1380593,"31 Dec",3200306,5158183,2500069,846339,3777590,1380593,"31 Dec",3503109,5716889,2662645,968393,4203224,1513665,"31 Dec",3503109,5716889,2662645,968393,4203224,1513665,"31 Dec",3630180,6083024,3316493,1199198,4744097,1338927,"31 Dec",3630180,6083024,3316493,1199198,4744097,1338927,"31 Dec",3751483,6406557,3339720,1260248,4879874,1526683,"31 Dec",3751483,6406557,3339720,1260248,4879874,1526683
"126","QBE INT","31 Dec",480813,865123,300022,92250,507438,357685,"31 Dec",493302,865060,290822,87640,472207,392853,"31 Dec",493302,865060,290822,87640,472207,392853,"31 Dec",590216,971985,290743,91447,546764,425221,"31 Dec",590216,971985,290743,91447,546764,425221,"31 Dec",623603,1090783,293262,89262,611676,479107,"31 Dec",623603,1090783,293262,89262,611676,479107,"31 Dec",619421,1106307,385850,134860,659768,446538,"31 Dec",619421,1106307,385850,134860,659768,446538,"31 Dec",516999,969577,348824,117404,539252,430325,"31 Dec",516999,969577,348824,117404,539252,430325
"127","QBE LMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",1515415,1798020,156691,251901,682786,1115234,"31 Dec",1515415,1798020,156691,251901,682786,1115234,"31 Dec",1710260,1914914,125459,199637,619571,1295343,"31 Dec",1710260,1914914,125459,199637,619571,1295343
"128","RAA","30 Jun",46085,69315,13008,30687,52472,16843,"30 Jun",46085,69315,13008,30687,52472,16843,"30 Jun",49307,77034,13644,34853,59015,18019,"30 Jun",49307,77034,13644,34853,59015,18019,"30 Jun",57239,97307,24606,37986,77769,19538,"30 Jun",57239,97307,24606,37986,77769,19538,"30 Jun",52433,89320,17601,42464,67591,21729,"30 Jun",52433,89320,17601,42464,67591,21729,"30 Jun",58202,102382,19901,49301,78613,23769,"30 Jun",58202,102382,19901,49301,78613,23769,"30 Jun",64685,121053,22591,55134,94224,26828
"129","RAC","31 Dec",164590,367568,30694,102195,159037,208531,"31 Dec",182658,377805,37982,109783,171153,206652,"31 Dec",182658,377805,37982,109783,171153,206652,"31 Dec",166255,360613,37980,108969,164142,196471,"30 Jun",166255,360613,37980,108969,164142,196471,"30 Jun",165990,392870,45630,121127,185552,207318,"30 Jun",181391,415210,63112,132494,211449,203761,"30 Jun",181391,415210,63112,132494,211449,203761,"30 Jun",204589,455611,61397,140076,232355,223256,"30 Jun",204589,455611,61397,140076,232355,223256,"30 Jun",203852,601869,180294,148693,360481,241388
