"","Company","Date200506","Invest200506","TotalAsset200506","ClaimReserv200506","PremLiab200506","TotalLiab200506","Equity200506","Date200512","Invest200512","TotalAsset200512","ClaimReserv200512","PremLiab200512","TotalLiab200512","Equity200512","Date200606","Invest200606","TotalAsset200606","ClaimReserv200606","PremLiab200606","TotalLiab200606","Equity200606","Date200612","Invest200612","TotalAsset200612","ClaimReserv200612","PremLiab200612","TotalLiab200612","Equity200612","Date200706","Invest200706","TotalAsset200706","ClaimReserv200706","PremLiab200706","TotalLiab200706","Equity200706","Date200712","Invest200712","TotalAsset200712","ClaimReserv200712","PremLiab200712","TotalLiab200712","Equity200712","Date200806","Invest200806","TotalAsset200806","ClaimReserv200806","PremLiab200806","TotalLiab200806","Equity200806","Date200812","Invest200812","TotalAsset200812","ClaimReserv200812","PremLiab200812","TotalLiab200812","Equity200812","Date200906","Invest200906","TotalAsset200906","ClaimReserv200906","PremLiab200906","TotalLiab200906","Equity200906","Date200912","Invest200912","TotalAsset200912","ClaimReserv200912","PremLiab200912","TotalLiab200912","Equity200912","Date201006","Invest201006","TotalAsset201006","ClaimReserv201006","PremLiab201006","TotalLiab201006","Equity201006"
"130","RACQ","31 Dec",552986,742052,404190,189021,612893,129159,"31 Dec",646790,872030,457624,214428,724458,147572,"31 Dec",646790,872030,457624,214428,724458,147572,"31 Dec",700691,940492,442123,214045,754275,186218,"31 Dec",700691,940492,442123,214045,754275,186218,"31 Dec",696137,948842,485021,217711,748993,199848,"31 Dec",696137,948842,485021,217711,748993,199848,"31 Dec",729480,1121871,671216,251622,944352,177519,"31 Dec",729480,1121871,671216,251622,944352,177519,"31 Dec",843900,1201765,652558,271764,950133,251634,"31 Dec",843900,1201765,652558,271764,950133,251634
"131","RACT","30 Jun",19801,43614,10354,21727,34959,8655,"30 Jun",19801,43614,10354,21727,34959,8655,"30 Jun",21710,49685,10592,24302,40038,9647,"30 Jun",21710,49685,10592,24302,40038,9647,"30 Jun",31022,57913,12584,25286,44072,13843,"30 Jun",31022,57913,12584,25286,44072,13843,"30 Jun",31061,57895,14656,26138,46069,11826,"30 Jun",31061,57895,14656,26138,46069,11826,"30 Jun",28982,61868,14050,29419,48193,13675,"30 Jun",28982,61868,14050,29419,48193,13675,"30 Jun",35443,67744,11565,32515,51753,15991
"132","REALCOVER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,NA,NA,"30 Jun",5913,7857,2689,1205,4530,3327,"30 Jun",5913,7857,2689,1205,4530,3327,"30 Jun",6174,7982,2964,800,4502,3480
"133","RURAL","30 Jun",3776,5367,3477,0,3894,1473,"30 Jun",3776,5367,3477,0,3894,1473,"30 Jun",3028,4140,3136,0,3309,831,"30 Jun",3028,4140,3136,0,3309,831,"30 Jun",2864,3955,2912,0,3085,870,"30 Jun",2864,3955,2912,0,3085,870,"30 Jun",2864,3953,2912,0,3085,868,"30 Jun",2864,3953,2912,0,3085,868,"30 Jun",2864,3388,1015,0,1188,2200,"30 Jun",2864,3388,1015,0,1188,2200,"30 Jun",NA,NA,NA,NA,NA,NA
"134","SCOR","31 Dec",69882,83221,30761,3220,41507,41714,"31 Dec",56540,78605,23231,10568,39083,39522,"31 Dec",56540,78605,23231,10568,39083,39522,"31 Dec",60008,85264,28081,20015,49008,36256,"31 Dec",60008,85264,28081,20015,49008,36256,"31 Dec",69409,106824,43327,19327,69603,37221,"31 Dec",69409,106824,43327,19327,69603,37221,"31 Dec",100761,264157,134352,43701,210532,53625,"31 Dec",100761,264157,134352,43701,210532,53625,"31 Dec",199950,363790,168871,49762,284355,79435,"31 Dec",199950,363790,168871,49762,284355,79435
"135","SCROSS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",7000,8474,200,375,984,7490,"30 Jun",7000,8474,200,375,984,7490,"30 Jun",7000,8721,689,683,1812,6909
"136","SGIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,"30 Sep",370295,390346,571,30937,109802,280544,"30 Sep",370295,390346,571,30937,109802,280544,"30 Sep",388458,391646,2737,63001,87301,304345,"30 Sep",388458,391646,2737,63001,87301,304345,"30 Sep",636784,640419,11886,65282,125663,514756,"30 Sep",636784,640419,11886,65282,125663,514756
"137","SIRIUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,"31 Dec",9000,10665,646,1130,2428,8237,"31 Dec",9000,10665,646,1130,2428,8237
"138","SOMPO","31 Dec",37501,55420,20084,3512,28452,26968,"31 Dec",36196,61204,25102,5431,34450,26754,"31 Dec",36196,61204,25102,5431,34450,26754,"31 Dec",25013,38067,12561,4777,20239,17828,"31 Dec",25013,38067,12561,4777,20239,17828,"31 Dec",27214,42682,15285,4600,22825,19857,"31 Dec",27214,42682,15285,4600,22825,19857,"31 Dec",28634,40471,10412,4713,18296,22175,"31 Dec",28634,40471,10412,4713,18296,22175,"31 Dec",28273,39062,10179,4523,16793,22269,"31 Dec",28273,39062,10179,4523,16793,22269
"139","SOVEREIGN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,NA,NA,"30 Jun",5509,11640,778,3330,5435,6205
"140","SPHERE DRA","31 Dec",4802,6803,2481,0,2662,4141,"31 Dec",5036,6580,1902,0,2141,4439,"31 Dec",5036,6580,1902,0,2141,4439,"31 Dec",5313,6460,1973,0,2241,4219,"31 Dec",5313,6460,1973,0,2241,4219,"31 Dec",5639,6588,1950,0,2251,4337,"31 Dec",5639,6588,1950,0,2251,4337,"31 Dec",6023,6498,2030,0,2378,4120,"31 Dec",6023,6498,2030,0,2378,4120,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","SR INT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA
"142","SSL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",155077,182950,55705,9099,69285,113665,"31 Dec",155077,182950,55705,9099,69285,113665,"31 Dec",152602,169712,41222,21,42514,127198,"31 Dec",152602,169712,41222,21,42514,127198,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","ST ANDREW","31 Dec",26600,27520,845,6488,11874,15646,"31 Dec",28897,29952,849,6881,9985,19967,"31 Dec",28897,29952,849,6881,9985,19967,"31 Dec",19025,21163,549,6906,10561,10602,"31 Dec",19025,21163,549,6906,10561,10602,"31 Dec",24366,25997,400,6507,10387,15610,"30 Jun",24366,25997,400,6507,10387,15610,"30 Jun",21892,23627,461,6453,8457,15170,"30 Jun",22254,27063,1285,7478,10655,16408,"30 Jun",22254,27063,1285,7478,10655,16408,"30 Jun",24852,25473,645,5615,8294,17179
"144","ST PAUL","30 Sep",90359,185586,143489,2358,153559,32027,"30 Sep",85635,166259,131859,1192,138774,27485,"30 Sep",85635,166259,131859,1192,138774,27485,"30 Sep",82675,137849,105446,571,107917,29932,"30 Sep",82675,137849,105446,571,107917,29932,"30 Sep",77874,107035,59349,88,60236,46799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","STATECOVER","30 Jun",85687,135150,57548,34413,104875,30275,"30 Jun",85687,135150,57548,34413,104875,30275,"30 Jun",110846,164167,66513,36993,121750,42417,"30 Jun",110846,164167,66513,36993,121750,42417,"30 Jun",122242,176473,83971,35668,132893,43580,"30 Jun",122242,176473,83971,35668,132893,43580,"30 Jun",130909,193144,106593,36518,154909,38235,"30 Jun",130909,193144,106593,36518,154909,38235,"30 Jun",159792,231354,128837,40263,183075,48279,"30 Jun",159792,231354,128837,40263,183075,48279,"30 Jun",196898,282641,154732,45561,215906,66735
"146","STEWART","31 Dec",5880,6563,144,0,428,6135,"31 Dec",7700,8623,447,0,759,7864,"31 Dec",7700,8623,447,0,759,7864,"31 Dec",7500,10401,2414,0,2989,7412,"31 Dec",7500,10401,2414,0,2989,7412,"31 Dec",8200,10280,2607,0,3247,7033,"31 Dec",8200,10280,2607,0,3247,7033,"31 Dec",9300,11357,2459,0,2954,8403,"31 Dec",9300,11357,2459,0,2954,8403,"31 Dec",9594,10628,2390,0,2703,7925,"31 Dec",9594,10628,2390,0,2703,7925
"147","SUNCORP","30 Jun",4813261,5370384,2332923,604066,3364572,2005812,"30 Jun",4813261,5370384,2332923,604066,3364572,2005812,"30 Jun",5194201,5826054,2412744,629145,3572333,2253721,"30 Jun",5194201,5826054,2412744,629145,3572333,2253721,"30 Jun",5701128,6389031,2273619,608735,4291060,2097971,"30 Jun",5701128,6389031,2273619,608735,4291060,2097971,"30 Jun",4995089,5711367,2300014,648705,3616899,2094468,"30 Jun",4995089,5711367,2300014,648705,3616899,2094468,"30 Jun",5024761,5773963,2384277,655619,3850383,1923580,"30 Jun",5024761,5773963,2384277,655619,3850383,1923580,"30 Jun",4698207,5708869,2495220,576287,3964358,1744511
"148","SUNDERLAND","31 Dec",9298,29865,10179,9166,22934,6931,"31 Dec",11725,34469,12606,8911,25754,8715,"31 Dec",11725,34469,12606,8911,25754,8716,"31 Dec",12282,34269,15698,6238,25729,8540,"31 Dec",12282,34269,15698,6238,25729,8540,"31 Dec",13288,30263,10789,8114,21167,9096,"31 Dec",13288,30263,10789,8114,21167,9096,"31 Dec",14230,26098,8939,8390,18012,8088,"31 Dec",14230,26098,8939,8390,18012,8088,"31 Dec",14699,28125,9301,9099,20238,7885,"31 Dec",14699,28125,9301,9099,20238,7885
"149","SUNSTATE","30 Jun",14184,15335,53,5739,7068,8267,"30 Jun",14184,15335,53,5739,7068,8267,"30 Jun",17123,18281,226,5338,7202,11079,"30 Jun",17123,18281,226,5338,7202,11079,"30 Jun",19782,22077,433,6884,9075,13002,"30 Jun",19782,22077,433,6884,9075,13002,"30 Jun",22577,28425,617,7959,11153,17272,"30 Jun",22577,28425,617,7959,11153,17272,"30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","SWANN","30 Jun",294053,367555,44572,163556,263286,104269,"30 Jun",294053,367555,44572,163556,263286,104269,"30 Jun",333332,414158,43582,172869,299077,115081,"30 Jun",333332,414158,43582,172869,299077,115081,"30 Jun",339509,406740,44354,158507,257005,149735,"30 Jun",339509,406740,44354,158507,257005,149735,"30 Jun",307067,374051,36853,156177,241851,132200,"30 Jun",307067,374051,36853,156177,241851,132200,"30 Jun",295225,360878,41665,154171,240853,120025,"30 Jun",295225,360878,41665,154171,240853,120025,"30 Jun",283088,370142,55978,141186,242448,127694
"151","SWISS RE","31 Dec",811525,1065869,418879,142822,593662,472207,"31 Dec",1581696,2174070,1110217,394951,1595969,578101,"31 Dec",1581696,2174070,1110217,394951,1595969,578101,"31 Dec",1479011,1992799,1104604,294635,1442191,550608,"31 Dec",1479011,1992799,1104604,294635,1442191,550608,"31 Dec",1383607,2058981,1157017,418476,1603181,455800,"31 Dec",1383607,2058981,1157017,418476,1603181,455800,"31 Dec",1561241,2285137,1271364,378232,1806403,478734,"31 Dec",1561241,2285137,1271364,378232,1806403,478734,"31 Dec",1533345,2242000,1172615,334973,1646705,595295,"31 Dec",1533345,2242000,1172615,334973,1646705,595295
"152","TAXI","30 Jun",1813,2078,122,0,447,1631,"30 Jun",1813,2078,122,0,447,1631,"30 Jun",2230,2464,112,0,540,1924,"30 Jun",2230,2464,112,0,540,1924,"30 Jun",2416,2729,162,0,653,2076,"30 Jun",2416,2729,162,0,653,2076,"30 Jun",2881,3022,1,0,618,2404,"30 Jun",2881,3022,1,0,618,2404,"30 Jun",1680,2915,0,0,436,2479,"30 Jun",1680,2915,0,0,436,2479,NA,NA,NA,NA,NA,NA,NA
"153","TGI AUS","31 Dec",178269,265329,167349,260,179759,85570,"31 Dec",171217,226593,113730,809,140141,86452,"31 Dec",171217,226593,113730,809,140141,86452,"31 Dec",144122,200843,106683,750,109061,91782,"31 Dec",144122,200843,106683,750,109061,91782,"31 Dec",145897,189338,80784,834,85412,103926,"31 Dec",145897,189338,80784,834,85412,103926,"31 Dec",99357,142187,65986,199,67811,74376,"31 Dec",99357,142187,65986,199,67811,74376,"31 Dec",103845,118584,36171,173,37961,80623,"31 Dec",103845,118584,36171,173,37961,80623
"154","TMIC","30 Jun",7210,8508,116,684,1547,6961,"30 Jun",7210,8508,116,684,1547,6961,"30 Jun",12715,16972,592,3004,4712,12260,"30 Jun",12715,16972,592,3004,4712,12260,"30 Jun",6029,33704,2231,8877,13493,20211,"30 Jun",6029,33704,2231,8877,13493,20211,"30 Jun",38798,44281,6477,14510,22013,22267,"30 Jun",38798,44281,6477,14510,22013,22267,"30 Jun",33108,35506,7754,14168,22290,13216,"30 Jun",33112,35510,7754,14817,22939,12571,"30 Jun",29365,30585,736,5761,6720,23863
"155","TOKIO","31 Mar",79448,117668,33044,15149,55960,61708,"31 Mar",79448,117668,33044,15149,55960,61708,"31 Mar",87759,154554,56701,20246,85537,69017,"31 Mar",87759,154554,56701,20246,85537,69017,"31 Mar",101367,157920,60868,16745,84535,73385,"31 Mar",101367,157920,60868,16745,84535,73385,"31 Mar",104686,174243,70346,19425,97738,76505,"31 Mar",104686,174243,70346,19425,97738,76505,"31 Mar",101485,195545,96825,14197,121382,74163,"31 Mar",101485,195545,96825,14197,121382,74163,"31 Mar",96779,168012,62341,15232,92034,75978
"156","Total ($ million)",NA,NA,NA,NA,NA,NA,NA,"",55159,81536,34881,13568,56597,24938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","TOWER","30 Sep",25570,38951,11977,0,13240,25711,"30 Sep",38552,40547,11404,0,13118,27429,"30 Sep",38552,40547,11404,0,13118,27429,"30 Sep",38922,40531,10922,0,11557,28974,"30 Sep",38922,40531,10922,0,11557,28974,"30 Sep",39948,41247,10442,0,11078,30169,"30 Sep",39948,41247,10442,0,11078,30169,"30 Sep",40218,41928,10384,0,11637,30291,"30 Sep",40218,41928,10384,0,11637,30291,"30 Sep",41680,43357,10480,0,12115,31242,"30 Sep",41680,43357,10480,0,12115,31242
"158","TRAVELERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Sep",77874,107035,59349,88,60236,46799,"30 Sep",61618,85266,48544,0,49443,35823,"30 Sep",61618,85266,48544,0,49443,35823,"30 Sep",53678,66748,27166,0,29600,37148,"30 Sep",53678,66748,27166,0,29600,37148
"159","TRC","31 Dec",26055,38857,6542,4383,15405,23452,"31 Dec",30246,47955,7639,6336,17742,30213,"31 Dec",30246,47955,7639,6336,17742,30213,"31 Dec",47335,70998,14664,17822,37176,33822,"31 Dec",47335,70998,14664,17822,37176,33822,"31 Dec",53285,81673,18371,14856,37982,43691,"31 Dec",53285,81673,18371,14856,37982,43691,"31 Dec",74576,99263,21625,17600,44381,54882,"31 Dec",74576,99263,21625,17600,44381,54882,"31 Dec",87730,125681,28868,26978,60684,64997,"31 Dec",87730,125681,28868,26978,60684,64997
"160","TTCLUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,"31 Dec",0,38235,4506,12229,33040,5194,"31 Dec",0,38235,4506,12229,33040,5194
"161","VERO","31 Dec",3952394,6036411,2355758,1273180,4371533,1664878,"31 Dec",4162377,6242986,2435263,1366824,4447491,1795495,"31 Dec",4162377,6242986,2435263,1366824,4447491,1795495,"31 Dec",4134050,6131452,2417843,1416768,4626310,1505142,"30 Jun",4134050,6131452,2417843,1416768,4626310,1505142,NA,NA,NA,NA,NA,NA,NA,"30 Jun",4679715,6881572,2585798,1503785,5913152,968420,"30 Jun",4679715,6881572,2585798,1503785,5913152,968420,"30 Jun",4649235,6068580,1440408,559162,3062845,3005735,"30 Jun",4649235,6068580,1440408,559162,3062845,3005735,"30 Jun",4830623,6259124,1598257,572019,3356125,2902999
"162","VERO LMI","31 Dec",353838,370897,3796,95043,159870,211027,"31 Dec",323603,335171,3196,66726,92013,243158,"31 Dec",323603,335171,3196,66726,92013,243158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","VEROc ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",4522178,7297181,2633313,1549441,5978274,1318907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","VIRGINIA","31 Dec",19507,23575,797,9093,11826,11749,"31 Dec",22293,27480,474,7052,10102,17378,"31 Dec",22293,27480,474,7052,10102,17378,"31 Dec",23099,29722,448,7090,8764,20958,"31 Dec",23099,29722,448,7090,8764,20958,"31 Dec",27969,33327,1142,8992,11354,21973,"31 Dec",27969,33327,1142,8992,11354,21973,"31 Dec",31699,42852,1673,17180,21255,21597,"31 Dec",31699,42852,1673,17180,21255,21597,"31 Dec",39397,50247,2030,27168,30904,19343,"31 Dec",39397,50247,2030,27168,30904,19343
"165","WESFARMERS","30 Jun",244220,331230,124900,98321,258440,72790,"30 Jun",244220,331230,124900,98321,258440,72790,"30 Jun",238664,366221,151462,100636,289437,76784,"30 Jun",238664,366221,151462,100636,289437,76784,"30 Jun",257080,368442,131851,113920,290381,78061,"30 Jun",257080,368442,131851,113920,290381,78061,"30 Jun",293564,402982,132884,119984,302518,100464,"30 Jun",293564,402982,132884,119984,302518,100464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","WESTERN","31 Dec",10513,26781,287,2570,15378,11403,"31 Dec",23325,42620,883,6350,24515,18105,"31 Dec",23325,42620,883,6350,24515,18105,"31 Dec",49103,73308,3079,8947,32952,40356,"31 Dec",49103,73308,3079,8947,32952,40356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","WESTPAC","30 Sep",133866,191379,38480,68716,131394,59985,"30 Sep",131440,192333,36755,66062,125674,66659,"30 Sep",131440,192333,36755,66062,125674,66659,"30 Sep",135103,202924,39176,75049,139733,63191,"30 Sep",135103,202924,39176,75049,139733,63191,"30 Sep",159413,234040,45266,81267,157266,76774,"30 Sep",159413,234040,45266,81267,157266,76774,"30 Sep",163730,243459,48063,88158,166177,77282,"30 Sep",163730,243459,48063,88158,166177,77282,"30 Sep",158033,253609,55035,100541,182328,71277,"30 Sep",158033,253609,55035,100541,182328,71277
"168","WESTPORT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",663461,739550,362941,18234,435321,304229,"31 Dec",663461,739550,362941,18234,435321,304229,"31 Dec",505913,587535,313877,25236,375281,212254,"31 Dec",505913,587535,313877,25236,375281,212254,"31 Dec",134781,497690,252440,27144,320149,177541,"31 Dec",134781,497690,252440,27144,320149,177541
"169","WGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",551992,1204183,480595,386715,1003382,200801,"30 Jun",962332,1846505,781944,551070,1531048,315457,"30 Jun",962332,1846505,781944,551070,1531048,315457,"30 Jun",1051080,1931282,766873,572874,1577448,353834
"170","WPAC LMI","30 Sep",95086,140883,1613,56904,70876,70007,"30 Sep",131121,163173,1865,37432,62061,101112,"30 Sep",131121,163173,1865,37432,62061,101112,"30 Sep",202919,243736,4874,57525,96189,147547,"30 Sep",202919,243736,4874,57525,96189,147547,"30 Sep",248694,300293,10142,79626,122029,178264,"30 Sep",248694,300293,10142,79626,122029,178264,"30 Sep",307591,345675,18724,88755,137540,208134,"30 Sep",307591,345675,18724,88755,137540,208134,"30 Sep",482429,539187,14133,123808,180213,358974,"30 Sep",482429,539187,14133,123808,180213,358974
"171","WRBERKLEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",0,25561,0,81,711,24850,"31 Dec",0,25561,0,81,711,24850,"31 Dec",25356,48798,5265,9819,18595,30203,"31 Dec",25356,48798,5265,9819,18595,30203,"31 Dec",29866,67076,17349,14209,38351,28725,"31 Dec",29866,67076,17349,14209,38351,28725
"172","XL INS","31 Dec",104138,232112,115549,25705,186433,45679,"31 Dec",122018,232276,118709,35987,172248,60028,"31 Dec",122018,232276,118709,35987,172248,60028,"31 Dec",128870,235427,100230,48248,164672,70755,"31 Dec",128870,235427,100230,48248,164672,70755,"31 Dec",114324,255426,125231,40106,187744,67682,"31 Dec",114324,255426,125231,40106,187744,67682,"31 Dec",135775,316979,170495,51254,243211,73768,"31 Dec",135775,316979,170495,51254,243211,73768,"31 Dec",130381,320930,194455,43817,257571,63359,"31 Dec",130381,320930,194455,43817,257571,63359
"173","XL R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",0,60562,21540,0,24673,35889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","XL RE","31 Dec",40704,87681,51599,4688,73198,14483,"31 Dec",50602,104607,56479,5167,84600,20007,"31 Dec",50602,104607,56479,5167,84600,20007,"31 Dec",55746,94502,50847,204,68578,25924,"31 Dec",55746,94502,50847,204,68578,25924,"31 Dec",0,86908,40206,0,52504,34404,"31 Dec",0,86908,40206,0,52504,34404,NA,NA,NA,NA,NA,NA,NA,"31 Dec",0,60562,21540,0,24673,35889,"31 Dec",NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA
"175","YOUI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",19687,21802,0,0,647,21155,"30 Jun",19687,21802,0,0,647,21155,"30 Jun",10817,40810,1684,7285,17589,23221,"30 Jun",10817,40810,1684,7285,17589,23221,"30 Jun",24996,64351,9279,27886,44268,20083
"176","ZURICH","31 Dec",1781596,2521859,1409653,360795,1872899,648960,"31 Dec",1842776,2552580,1328464,338294,1772732,779848,"31 Dec",1842776,2552580,1328464,338294,1772732,779848,"31 Dec",1825819,2576105,1254257,351219,1728708,847397,"31 Dec",1825819,2576105,1254257,351219,1728708,847397,"31 Dec",1731535,2592918,1370953,428208,1924559,668359,"31 Dec",1731535,2592918,1370953,428208,1924559,668359,"31 Dec",1678193,2696448,1464785,466417,2062770,633678,"31 Dec",1678193,2696448,1464785,466417,2062770,633678,"31 Dec",1707218,2956452,1605631,505110,2243995,712455,"31 Dec",1707218,2956452,1605631,505110,2243995,712455
