"","Class","GWP200506","GWP200606","GWP200706","GWP200806","GWP200906","GWP201006","GWP200506.1","GWP200606.1","GWP200706.1","GWP200806.1","GWP200906.1","GWP201006.1","GWP200506.2","GWP200606.2","GWP200706.2","GWP200806.2","GWP200906.2","GWP201006.2","GWP200506.3","GWP200606.3","GWP200706.3","GWP200806.3","GWP200906.3","GWP201006.3","GWP200506.4","GWP200606.4","GWP200706.4","GWP200806.4","GWP200906.4","GWP201006.4","GWP200506.5","GWP200606.5","GWP200706.5","GWP200806.5","GWP200906.5","GWP201006.5","PR200506","PR200606","PR200706","PR200806","PR200906","PR201006","PR200506.1","PR200606.1","PR200706.1","PR200806.1","PR200906.1","PR201006.1","PR200506.2","PR200606.2","PR200706.2","PR200806.2","PR200906.2","PR201006.2","PR200506.3","PR200606.3","PR200706.3","PR200806.3","PR200906.3","PR201006.3","PR200506.4","PR200606.4","PR200706.4","PR200806.4","PR200906.4","PR201006.4","PR200506.5","PR200606.5","PR200706.5","PR200806.5","PR200906.5","PR201006.5","RE200506","RE200606","RE200706","RE200806","RE200906","RE201006","RE200506.1","RE200606.1","RE200706.1","RE200806.1","RE200906.1","RE201006.1","RE200506.2","RE200606.2","RE200706.2","RE200806.2","RE200906.2","RE201006.2","RE200506.3","RE200606.3","RE200706.3","RE200806.3","RE200906.3","RE201006.3","RE200506.4","RE200606.4","RE200706.4","RE200806.4","RE200906.4","RE201006.4","RE200506.5","RE200606.5","RE200706.5","RE200806.5","RE200906.5","RE201006.5","GIC200506","GIC200606","GIC200706","GIC200806","GIC200906","GIC201006","GIC200506.1","GIC200606.1","GIC200706.1","GIC200806.1","GIC200906.1","GIC201006.1","GIC200506.2","GIC200606.2","GIC200706.2","GIC200806.2","GIC200906.2","GIC201006.2","GIC200506.3","GIC200606.3","GIC200706.3","GIC200806.3","GIC200906.3","GIC201006.3","GIC200506.4","GIC200606.4","GIC200706.4","GIC200806.4","GIC200906.4","GIC201006.4","GIC200506.5","GIC200606.5","GIC200706.5","GIC200806.5","GIC200906.5","GIC201006.5","ROR200506","ROR200606","ROR200706","ROR200806","ROR200906","ROR201006","ROR200506.1","ROR200606.1","ROR200706.1","ROR200806.1","ROR200906.1","ROR201006.1","ROR200506.2","ROR200606.2","ROR200706.2","ROR200806.2","ROR200906.2","ROR201006.2","ROR200506.3","ROR200606.3","ROR200706.3","ROR200806.3","ROR200906.3","ROR201006.3","ROR200506.4","ROR200606.4","ROR200706.4","ROR200806.4","ROR200906.4","ROR201006.4","ROR200506.5","ROR200606.5","ROR200706.5","ROR200806.5","ROR200906.5","ROR201006.5"
"1","",NA,38,41,43,45,51,NA,38,41,43,45,51,NA,38,41,43,45,51,NA,38,41,43,45,51,NA,38,41,43,45,51,NA,38,41,43,45,51,NA,37,40,42,43,49,NA,37,40,42,43,49,NA,37,40,42,43,49,NA,37,40,42,43,49,NA,37,40,42,43,49,NA,37,40,42,43,49,NA,15,16,17,19,23,NA,15,16,17,19,23,NA,15,16,17,19,23,NA,15,16,17,19,23,NA,15,16,17,19,23,NA,15,16,17,19,23,NA,27,26,30,32,35,NA,27,26,30,32,35,NA,27,26,30,32,35,NA,27,26,30,32,35,NA,27,26,30,32,35,NA,27,26,30,32,35,NA,8,8,4,3,8,NA,8,8,4,3,8,NA,8,8,4,3,8,NA,8,8,4,3,8,NA,8,8,4,3,8,NA,8,8,4,3,8
"2","Houseowners/householders",35,3,12,7,10,12,35,3,12,7,10,12,35,3,12,7,10,12,35,3,12,7,10,12,35,3,12,7,10,12,35,3,12,7,10,12,34,4,12,7,8,11,34,4,12,7,8,11,34,4,12,7,8,11,34,4,12,7,8,11,34,4,12,7,8,11,34,4,12,7,8,11,14,0,8,3,4,5,14,0,8,3,4,5,14,0,8,3,4,5,14,0,8,3,4,5,14,0,8,3,4,5,14,0,8,3,4,5,18,3,12,6,2,11,18,3,12,6,2,11,18,3,12,6,2,11,18,3,12,6,2,11,18,3,12,6,2,11,18,3,12,6,2,11,4,0,9,2,0,6,4,0,9,2,0,6,4,0,9,2,0,6,4,0,9,2,0,6,4,0,9,2,0,6,4,0,9,2,0,6
"3","Commercial motor vehicle",4,13,13,14,16,18,4,13,13,14,16,18,4,13,13,14,16,18,4,13,13,14,16,18,4,13,13,14,16,18,4,13,13,14,16,18,4,13,13,14,15,17,4,13,13,14,15,17,4,13,13,14,15,17,4,13,13,14,15,17,4,13,13,14,15,17,4,13,13,14,15,17,1,2,2,2,3,1,1,2,2,2,3,1,1,2,2,2,3,1,1,2,2,2,3,1,1,2,2,2,3,1,1,2,2,2,3,1,1,7,8,10,10,17,1,7,8,10,10,17,1,7,8,10,10,17,1,7,8,10,10,17,1,7,8,10,10,17,1,7,8,10,10,17,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3
"4","Domestic motor vehicle",13,0,0,0,0,1,13,0,0,0,0,1,13,0,0,0,0,1,13,0,0,0,0,1,13,0,0,0,0,1,13,0,0,0,0,1,13,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Travel",0,36,43,43,52,89,0,36,43,43,52,89,0,36,43,43,52,89,0,36,43,43,52,89,0,36,43,43,52,89,0,36,43,43,52,89,0,36,41,43,45,65,0,36,41,43,45,65,0,36,41,43,45,65,0,36,41,43,45,65,0,36,41,43,45,65,0,36,41,43,45,65,0,22,25,25,26,32,0,22,25,25,26,32,0,22,25,25,26,32,0,22,25,25,26,32,0,22,25,25,26,32,0,22,25,25,26,32,0,16,40,22,98,-19,0,16,40,22,98,-19,0,16,40,22,98,-19,0,16,40,22,98,-19,0,16,40,22,98,-19,0,16,40,22,98,-19,0,7,3,1,75,-40,0,7,3,1,75,-40,0,7,3,1,75,-40,0,7,3,1,75,-40,0,7,3,1,75,-40,0,7,3,1,75,-40
"6","Fire and ISR",40,1,1,1,2,2,40,1,1,1,2,2,40,1,1,1,2,2,40,1,1,1,2,2,40,1,1,1,2,2,40,1,1,1,2,2,41,2,1,1,1,2,41,2,1,1,1,2,41,2,1,1,1,2,41,2,1,1,1,2,41,2,1,1,1,2,41,2,1,1,1,2,24,1,1,1,1,1,24,1,1,1,1,1,24,1,1,1,1,1,24,1,1,1,1,1,24,1,1,1,1,1,24,1,1,1,1,1,19,0,0,0,1,0,19,0,0,0,1,0,19,0,0,0,1,0,19,0,0,0,1,0,19,0,0,0,1,0,19,0,0,0,1,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
"7","Marine and aviation",3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Mortgage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Consumer credit",0,2,2,2,2,1,0,2,2,2,2,1,0,2,2,2,2,1,0,2,2,2,2,1,0,2,2,2,2,1,0,2,2,2,2,1,0,2,2,2,2,1,0,2,2,2,2,1,0,2,2,2,2,1,0,2,2,2,2,1,0,2,2,2,2,1,0,2,2,2,2,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,2,5,0,0,0,1,2,5,0,0,0,1,2,5,0,0,0,1,2,5,0,0,0,1,2,5,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Other accident",2,172,113,91,179,147,2,172,113,91,179,147,2,172,113,91,179,147,2,172,113,91,179,147,2,172,113,91,179,147,2,172,113,91,179,147,2,172,113,89,96,99,2,172,113,89,96,99,2,172,113,89,96,99,2,172,113,89,96,99,2,172,113,89,96,99,2,172,113,89,96,99,1,2,4,4,5,5,1,2,4,4,5,5,1,2,4,4,5,5,1,2,4,4,5,5,1,2,4,4,5,5,1,2,4,4,5,5,-2,163,73,103,160,130,-2,163,73,103,160,130,-2,163,73,103,160,130,-2,163,73,103,160,130,-2,163,73,103,160,130,-2,163,73,103,160,130,-1,0,0,0,4,4,-1,0,0,0,4,4,-1,0,0,0,4,4,-1,0,0,0,4,4,-1,0,0,0,4,4,-1,0,0,0,4,4
"11","Other",160,1963,2005,2109,2243,2373,160,1963,2005,2109,2243,2373,160,1963,2005,2109,2243,2373,160,1963,2005,2109,2243,2373,160,1963,2005,2109,2243,2373,160,1963,2005,2109,2243,2373,161,1933,1982,2069,2196,2333,161,1933,1982,2069,2196,2333,161,1933,1982,2069,2196,2333,161,1933,1982,2069,2196,2333,161,1933,1982,2069,2196,2333,161,1933,1982,2069,2196,2333,2,18,24,22,19,24,2,18,24,22,19,24,2,18,24,22,19,24,2,18,24,22,19,24,2,18,24,22,19,24,2,18,24,22,19,24,177,1968,1929,2227,2822,2887,177,1968,1929,2227,2822,2887,177,1968,1929,2227,2822,2887,177,1968,1929,2227,2822,2887,177,1968,1929,2227,2822,2887,177,1968,1929,2227,2822,2887,2,3,31,27,23,27,2,3,31,27,23,27,2,3,31,27,23,27,2,3,31,27,23,27,2,3,31,27,23,27,2,3,31,27,23,27
"12","CTP motor vehicle",1890,20,20,22,17,38,1890,20,20,22,17,38,1890,20,20,22,17,38,1890,20,20,22,17,38,1890,20,20,22,17,38,1890,20,20,22,17,38,1854,20,20,21,20,22,1854,20,20,21,20,22,1854,20,20,21,20,22,1854,20,20,21,20,22,1854,20,20,21,20,22,1854,20,20,21,20,22,20,11,6,9,7,8,20,11,6,9,7,8,20,11,6,9,7,8,20,11,6,9,7,8,20,11,6,9,7,8,20,11,6,9,7,8,1952,-47,-15,-2,224,51,1952,-47,-15,-2,224,51,1952,-47,-15,-2,224,51,1952,-47,-15,-2,224,51,1952,-47,-15,-2,224,51,1952,-47,-15,-2,224,51,39,-1,1,5,156,25,39,-1,1,5,156,25,39,-1,1,5,156,25,39,-1,1,5,156,25,39,-1,1,5,156,25,39,-1,1,5,156,25
"13","Public and product liability",30,4,3,3,9,10,30,4,3,3,9,10,30,4,3,3,9,10,30,4,3,3,9,10,30,4,3,3,9,10,30,4,3,3,9,10,33,4,3,3,6,7,33,4,3,3,6,7,33,4,3,3,6,7,33,4,3,3,6,7,33,4,3,3,6,7,33,4,3,3,6,7,14,0,1,0,0,0,14,0,1,0,0,0,14,0,1,0,0,0,14,0,1,0,0,0,14,0,1,0,0,0,14,0,1,0,0,0,27,-2,0,4,3,24,27,-2,0,4,3,24,27,-2,0,4,3,24,27,-2,0,4,3,24,27,-2,0,4,3,24,27,-2,0,4,3,24,6,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1
"14","Professional indemnity",5,7387,6550,6690,6893,6868,5,7387,6550,6690,6893,6868,5,7387,6550,6690,6893,6868,5,7387,6550,6690,6893,6868,5,7387,6550,6690,6893,6868,5,7387,6550,6690,6893,6868,5,7188,6711,6721,6890,6874,5,7188,6711,6721,6890,6874,5,7188,6711,6721,6890,6874,5,7188,6711,6721,6890,6874,5,7188,6711,6721,6890,6874,5,7188,6711,6721,6890,6874,1,28,32,33,29,39,1,28,32,33,29,39,1,28,32,33,29,39,1,28,32,33,29,39,1,28,32,33,29,39,1,28,32,33,29,39,-4,4014,6113,5908,7766,8993,-4,4014,6113,5908,7766,8993,-4,4014,6113,5908,7766,8993,-4,4014,6113,5908,7766,8993,-4,4014,6113,5908,7766,8993,-4,4014,6113,5908,7766,8993,-3,330,220,369,317,231,-3,330,220,369,317,231,-3,330,220,369,317,231,-3,330,220,369,317,231,-3,330,220,369,317,231,-3,330,220,369,317,231
"15","Employers' liability",7143,9639,8801,9025,9468,9609,7143,9639,8801,9025,9468,9609,7143,9639,8801,9025,9468,9609,7143,9639,8801,9025,9468,9609,7143,9639,8801,9025,9468,9609,7143,9639,8801,9025,9468,9609,7117,9409,8937,9012,9323,9480,7117,9409,8937,9012,9323,9480,7117,9409,8937,9012,9323,9480,7117,9409,8937,9012,9323,9480,7117,9409,8937,9012,9323,9480,7117,9409,8937,9012,9323,9480,24,101,120,117,115,139,24,101,120,117,115,139,24,101,120,117,115,139,24,101,120,117,115,139,24,101,120,117,115,139,24,101,120,117,115,139,7440,6148,8187,8308,11121,12134,7440,6148,8187,8308,11121,12134,7440,6148,8187,8308,11121,12134,7440,6148,8187,8308,11121,12134,7440,6148,8187,8308,11121,12134,7440,6148,8187,8308,11121,12134,327,347,272,408,579,264,327,347,272,408,579,264,327,347,272,408,579,264,327,347,272,408,579,264,327,347,272,408,579,264,327,347,272,408,579,264
