"","BuildType","ClaimCost","SumInsured"
"1","E",6437.7243,25560
"2","D",4263.09498,142560
"3","D",2546.2944,5292
"4","C",2247.27624,5508
"5","B",3.564,414
"6","B",3.564,540
"7","B",1.6182,702
"8","B",2.7837,720
"9","B",2.6982,756
"10","D",14.04,900
"11","B",6.399,1116
"12","B",8.262,1134
"13","D",1.242,1134
"14","B",3.582,1170
"15","B",0.63,1260
"16","B",4.122,1314
"17","B",0.63,1314
"18","B",3.6,1350
"19","B",56.799,1368
"20","B",11.052,1368
"21","B",198.16056,1404
"22","B",159.56784,1404
"23","B",2.1582,1440
"24","B",1.98,1440
"25","B",1.53,1440
"26","B",0.855,1530
"27","B",4.6377,1566
"28","B",4.482,1566
"29","B",2.3382,1566
"30","B",6.4476,1584
"31","B",11.5191,1620
"32","B",1.602,1620
"33","B",5.004,1638
"34","B",0.81,1638
"35","B",5.0625,1656
"36","E",12.8502,1764
"37","B",3.222,1764
"38","B",6.642,1836
"39","B",5.3955,1836
"40","B",4.5,1836
"41","B",0.8991,1836
"42","B",14.1255,1872
"43","B",2.7,1872
"44","B",2.124,1944
"45","B",37.62,1962
"46","B",4.29192,1962
"47","B",2.4516,1962
"48","B",1.764,1962
"49","D",3.564,1980
"50","B",17.1,2016
"51","B",7.2,2070
"52","B",3.5955,2070
"53","B",5.22,2088
"54","B",1.2582,2142
"55","B",170.74026,2160
"56","B",8.082,2160
"57","B",4.482,2160
"58","B",3.0582,2160
"59","B",2.502,2160
"60","D",1.0782,2160
"61","B",0.36,2160
"62","D",9.693,2178
"63","C",1063.04094,2196
"64","B",22.14,2196
"65","C",13.086,2196
"66","B",2.07,2196
"67","B",18.54,2250
"68","B",3.39156,2250
"69","B",3.582,2286
"70","B",8.9631,2358
"71","B",17.07444,2376
"72","B",14.39784,2376
"73","B",27.0891,2448
"74","B",24.687,2448
"75","D",0.531,2448
"76","E",27,2484
"77","B",5.562,2484
"78","B",1.6191,2574
"79","B",7.1325,2592
"80","B",1.7982,2628
"81","B",4.7322,2664
"82","B",8.46,2790
"83","B",2.8791,2862
"84","B",1.161,2898
"85","B",1.134,2916
"86","D",1280.77686,2934
"87","B",4.491,3114
"88","B",4.122,3114
"89","B",3.582,3114
"90","B",2.61,3114
"91","D",4.1391,3186
"92","B",72.846,3348
"93","D",1.062,3600
"94","B",2.5191,3636
"95","B",1.4391,3762
"96","D",114.59862,3906
"97","D",7.49142,3924
"98","B",1.512,4122
"99","B",0.6507,4140
"100","B",4.5,4194
"101","D",1.08,4230
"102","D",1227.35016,4392
"103","D",1.17,4500
"104","B",13.698,4554
"105","B",20.358,4698
"106","B",4.482,4788
"107","B",22.4208,4878
"108","D",58.482,5058
"109","C",2.7,5202
"110","B",77.958,5256
"111","B",20.3202,5382
"112","D",10.5732,5994
"113","D",30.33,6138
"114","B",4.068,6354
"115","B",1.242,6570
"116","B",82.0485,6876
"117","D",19.332,7254
"118","B",450.04086,8568
"119","B",90,8568
"120","D",20.196,8892
"121","D",9.64044,9018
"122","B",58.7376,9126
"123","E",53.10594,9396
"124","B",107.99154,9486
"125","D",12.87,9540
"126","B",24.19938,9666
"127","D",4.5,10566
"128","D",9.414,11124
"129","D",15.12,11232
"130","D",4.545,11268
"131","D",10.08,11340
"132","D",1.764,11340
"133","D",70.074,11376
"134","B",30.384,11466
"135","D",21.528,11538
"136","E",10.764,11952
"137","D",16.18956,12186
"138","B",1.8,12294
"139","D",8.3835,12330
"140","D",1.0818,12330
"141","D",49.896,12384
"142","D",9.5751,12420
"143","D",51.354,12834
"144","E",28.962,12888
"145","D",8.532,13122
"146","D",29.25,13680
"147","D",1.53,14274
"148","D",5.3325,14724
"149","A",15.309,14922
"150","D",5.2182,15534
"151","E",568.9431,16074
"152","D",8.5068,16110
"153","E",23.31,16326
"154","B",1914.17238,16884
"155","D",14.4,17190
"156","C",85.212,20196
"157","D",5.6088,20322
"158","A",1.422,20790
"159","A",2.88,21060
"160","B",0.8982,21132
"161","D",1.062,21672
"162","D",53.34336,22662
"163","D",2.61,23238
"164","D",282.0825,24300
"165","D",28.71,24894
"166","D",3.762,25236
"167","D",488.376,25344
"168","B",63.64944,27468
"169","D",6.003,27648
"170","E",9.45,27954
"171","A",11.277,28890
"172","A",67.23234,30186
"173","D",1.8,30186
"174","D",43.17192,31770
"175","D",7.2,32922
"176","D",74.38968,32976
"177","A",20.25,33300
"178","D",25.8948,33480
"179","A",3.4191,34020
"180","F",49.806,34740
"181","C",35.4744,35190
"182","D",3.582,35550
"183","D",2.682,35550
"184","D",20.4768,36342
"185","B",687.90528,38178
"186","D",1176.06888,39276
"187","A",22.38876,42084
"188","D",5.9112,42192
"189","A",0.8991,42786
"190","B",430.96248,43110
"191","D",5.229,44586
"192","D",4.194,44784
"193","D",3.15,45108
"194","E",25.83486,46062
"195","E",72.53334,46890
"196","D",2.502,47070
"197","D",79.54146,47178
"198","D",8.622,47844
"199","D",2.7,48438
"200","A",4.58604,48690
"201","D",5.742,50760
"202","B",2.8035,51588
"203","D",3.15,52200
"204","D",57.6,52614
"205","D",45.18072,53082
"206","D",4.41,53748
"207","A",21.276,54000
"208","D",9.55584,55818
"209","B",1.602,60858
"210","E",75.13596,61470
"211","D",6.012,61920
"212","D",0.45,61920
"213","D",5.922,62550
"214","D",6.90804,62694
"215","D",7.074,64710
"216","D",848.0538,64872
"217","D",47.2635,64872
"218","E",21.06342,65196
"219","D",7272.39186,66294
"220","D",2723.67504,67104
"221","A",36.81972,67302
"222","A",4.68,70758
"223","D",10.71954,70884
"224","D",1.575,71406
"225","D",0.9,71406
"226","F",34.46928,71424
"227","D",41.958,74412
"228","B",53.118,75024
"229","D",2.196,75906
"230","D",31.56048,77346
"231","D",29.12904,77418
"232","A",45.828,77472
"233","A",2.87964,78408
"234","A",2.87964,78408
"235","D",13.05,78804
"236","D",0.8982,78804
"237","D",0.54,78858
"238","D",5.796,79704
"239","D",172.3023,84744
"240","A",23.31,85950
"241","D",12.15,86238
"242","B",39.30264,88542
"243","A",8.424,89028
"244","D",1.44,90954
"245","D",36.9369,91980
"246","D",34.27434,93114
"247","D",1.62,95256
"248","D",5.9544,97254
"249","B",13.59,98262
"250","B",26.52534,100818
"251","D",10.926,101988
"252","D",12.49398,104058
"253","B",212.39136,104094
"254","B",3.51,108288
"255","D",2.7711,109674
"256","A",2.25,116874
"257","A",0.882,116874
"258","D",83.26944,123156
"259","C",9006.60312,123912
"260","D",2.7,129546
"261","D",6.1893,130158
"262","B",13.8303,140904
"263","D",589.75614,154692
"264","D",22.65246,159534
"265","B",1.47834,177012
"266","D",1.53,183438
"267","B",4.464,189558
"268","D",202.03434,190638
"269","A",1.71,197334
"270","D",26.91792,197622
"271","D",5.20758,213336
"272","D",1.26,217350
"273","D",125.96508,221364
"274","D",2.25,228384
"275","D",12.05676,230094
"276","D",13.6512,237636
"277","D",6.6051,241452
"278","D",3026.68704,251946
"279","B",3.51,252288
"280","B",9,256554
"281","D",33.80904,265284
"282","D",663.02064,274806
"283","D",12.51,274806
"284","D",3.222,274806
"285","D",1451.0421,276012
"286","E",86.958,332946
"287","D",108.27,336276
"288","D",12.38652,337554
"289","D",71.0289,338022
"290","A",1220.56974,357390
"291","D",26.93682,370440
"292","D",9.45,376596
"293","D",529.53336,400932
"294","A",350.595,460944
"295","D",5.4,462078
"296","D",4.5,462078
"297","D",1.17,509382
"298","D",6.3,532476
"299","D",1.962,540342
"300","D",493.236,733446
"301","D",5.364,750600
"302","D",42.4467,873810
"303","D",3.15,1045512
"304","D",21.6,1365138
"305","D",30.366,1648818
"306","A",37.3275,1658538
"307","A",109.55358,1679976
"308","F",180,2182446
"309","F",10827.49194,48438
"310","C",4240.7334,4446
"311","D",83.5218,306
"312","B",2.16,450
"313","B",2.898,540
"314","D",0.4491,720
"315","D",20.73636,864
"316","D",42.9174,882
"317","B",2.691,900
"318","B",2.862,936
"319","B",0.882,936
"320","B",46.6425,1044
"321","B",83.58066,1260
"322","B",5.22,1260
"323","D",2.61,1260
"324","B",6.2982,1350
"325","B",4.5,1350
"326","B",35.802,1368
"327","B",4.23,1386
"328","D",18.4662,1404
"329","B",3.942,1440
"330","B",11.25,1458
"331","B",1.2591,1512
"332","B",1.26,1566
"333","B",1.8,1620
"334","B",60.66,1638
"335","B",22.4631,1656
"336","B",3.17826,1692
"337","F",204.8796,1710
"338","B",5.5314,1782
"339","D",55.242,1800
"340","B",8.226,1818
"341","B",1.422,1854
"342","B",20.448,1872
"343","B",10.962,1872
"344","B",9.6903,1872
"345","B",9.864,1962
"346","B",6.111,1962
"347","B",2.484,1962
"348","B",11.51478,1998
"349","B",7.164,2016
"350","B",12.582,2034
"351","B",9.882,2070
"352","D",3.8394,2070
"353","B",3.6,2070
"354","B",3.51,2070
"355","D",1305.5688,2088
"356","B",4.5,2142
"357","B",22.3335,2160
"358","B",4.05,2178
"359","B",2.98512,2250
"360","B",6.462,2304
"361","B",3.2391,2340
"362","B",49.356,2358
"363","B",1.242,2358
"364","B",3.042,2448
"365","B",6.156,2466
"366","B",0.8991,2538
"367","B",13.302,2592
"368","B",12.2148,2592
"369","B",2.8791,2592
"370","B",2.7,2592
"371","B",2.322,2664
"372","B",20.57724,2682
"373","B",4.5,2826
"374","B",11.1582,2898
"375","B",3.024,2898
"376","D",1.35,2898
"377","B",33.39,2934
"378","B",2.7522,3078
"379","B",2.52,3150
"380","B",2.3355,3186
"381","B",3.2976,3330
"382","B",3.2364,3510
"383","D",4.212,3528
"384","B",1.422,3546
"385","B",3.4056,3600
"386","B",11.34,3618
"387","B",15.39,3636
"388","B",5.85,3636
"389","B",1.8,3636
"390","B",10.53,3744
"391","B",3.564,3780
"392","B",2.43,3906
"393","B",0.6615,3942
"394","B",5.364,3978
"395","B",0.72,4140
"396","B",3.591,4158
"397","D",5.41782,4176
"398","D",2.7,4500
"399","B",1.791,4554
"400","B",5.2443,4590
"401","D",13.95,4662
"402","B",31.98222,4878
"403","D",6.444,4878
"404","B",1.9791,4932
"405","D",3.42,4950
"406","D",37.4193,5058
"407","D",11.376,5058
"408","D",1.4391,5184
"409","D",6.084,5454
"410","B",18.684,5724
"411","B",4.122,6102
"412","B",60.28074,6156
"413","B",45.342,6246
"414","B",32.3775,6588
"415","B",32.508,6696
"416","B",22.4235,7272
"417","B",36.10674,9018
"418","B",1058.55066,9234
"419","B",17.298,9270
"420","F",48.762,9468
"421","B",14.2344,10224
"422","D",34.68708,10332
"423","D",16.6203,10350
"424","D",9.81,11466
"425","B",31.995,11754
"426","D",9,12582
"427","D",2.66634,13050
"428","B",179.79588,13338
"429","D",12.15,13428
"430","D",8.91,14184
"431","D",4.14,14274
"432","D",4.86,14760
"433","D",0.9,14760
"434","C",322.3692,15534
"435","D",3.222,15912
"436","D",61.9398,15984
"437","D",9,16200
"438","D",3.42,16578
"439","D",7.2,16614
"440","D",2.07,16614
"441","D",2.682,17694
"442","D",3.96,18000
"443","D",1.35,18792
"444","C",127.88298,19620
"445","D",2.7,19998
"446","D",24.03846,20826
"447","D",1579.91328,21096
"448","D",14.913,21204
"449","D",12.06,22500
"450","D",35.4663,22554
"451","D",8.8524,22662
"452","A",14.96358,24858
"453","A",19.8315,25722
"454","D",1616.91786,25902
"455","A",2.682,26316
"456","B",0.9,26784
"457","D",0.9,26784
"458","D",1.944,30060
"459","B",4.644,32976
"460","D",32.94324,34812
"461","D",3.222,36774
"462","D",18,39852
"463","D",1637.16336,41508
"464","D",57.7116,42642
"465","D",1.728,45990
"466","D",1.7172,45990
"467","D",21.2364,46080
"468","D",4.482,46980
"469","D",2.16,47070
"470","D",1.53,47070
"471","D",1.242,47070
"472","E",3.6,48384
"473","D",25.65,51588
"474","D",1.4391,51588
"475","D",0.81,51588
"476","D",0.72,51588
"477","D",1.602,52200
"478","D",5.382,53082
"479","D",3.402,53082
"480","A",36,53208
"481","D",14.63238,53514
"482","D",28.8,54630
"483","D",126.8208,56214
"484","D",380.36484,57600
"485","B",8.946,60372
"486","D",35.64,61920
"487","D",9.846,61920
"488","D",2.16,61920
"489","D",6.642,62550
"490","D",277.81056,62838
"491","D",1.98,64224
"492","B",34.632,64494
"493","A",89.13492,65178
"494","D",44.31816,65736
"495","B",26.226,65970
"496","D",6.8931,65970
"497","D",22.0068,67302
"498","A",3.042,67302
"499","B",2.682,67320
"500","D",1154.34414,68058
"501","D",42.3855,69120
"502","D",3.231,70758
"503","D",2.961,72072
"504","D",3.51954,74358
"505","D",368.55522,76014
"506","A",4.5855,78408
"507","A",4.5855,78408
"508","A",4.5855,78408
"509","A",4.5,78408
"510","D",11.91204,78858
"511","D",4.05,79794
"512","A",2.142,80532
"513","D",224.8452,80622
"514","A",13.03704,85950
"515","D",665.58132,86256
"516","D",5.202,90810
"517","D",8.2368,92124
"518","E",2.7729,92232
"519","D",82.6857,92376
"520","D",2.7,93096
"521","D",4.536,93762
"522","F",22.9167,97524
"523","D",68.022,98460
"524","D",165.528,99756
"525","D",11.8197,100422
"526","D",109.944,102168
"527","D",38.25702,102924
"528","D",37.395,106758
"529","D",20.54718,107028
"530","D",2312.27802,108828
"531","D",462.24,109350
"532","A",8.1,116874
"533","A",5.85,116874
"534","A",3.51,116874
"535","D",3.375,118674
"536","D",2.7,137016
"537","D",12.6684,139302
"538","D",2.421,141336
"539","D",427.48902,141606
"540","D",7.01982,142542
"541","D",6.2217,143316
"542","D",61.49862,143568
"543","D",1583.46486,149310
"544","D",291.8718,153486
"545","D",10.575,154368
"546","D",17.00856,158580
"547","D",15.372,159480
"548","D",39.024,166284
"549","D",6.912,168012
"550","D",6.29874,185742
"551","B",7720.52328,186570
"552","D",12.19716,187344
"553","D",299.48436,190638
"554","B",79.76772,199026
"555","D",218.0403,207810
"556","D",356.4189,209628
"557","D",222.1983,214308
"558","D",803.37762,228690
"559","D",9,232740
"560","D",1.1394,233784
"561","D",15.3,247770
"562","D",11.07,260334
"563","D",8.01,274806
"564","D",11.394,281772
"565","D",156.70854,291402
"566","D",1.17,313596
"567","E",1630.29096,332946
"568","E",78.96132,332946
"569","D",635.09238,387936
"570","A",205.614,451422
"571","D",12.66894,466380
"572","D",26.208,506484
"573","D",129.7287,540846
"574","D",3268.01214,696312
"575","B",2.682,750600
"576","D",4.14108,1365138
"577","A",3800.92986,1035918
"578","C",2410.37784,3492
"579","F",100.08918,180
"580","B",3.582,288
"581","B",7.776,828
"582","B",1.62,900
"583","B",6.642,1062
"584","B",12.15,1098
"585","B",8.478,1260
"586","B",1.782,1260
"587","D",1.44,1260
"588","B",2.7891,1314
"589","B",3.3984,1332
"590","B",18.432,1350
"591","B",5.517,1368
"592","B",3.411,1404
"593","B",2.3382,1404
"594","B",10.8,1440
"595","B",8.7111,1440
"596","B",6.2496,1440
"597","B",1.62,1440
"598","D",36,1458
"599","B",2.16,1458
"600","B",0.7011,1458
"601","B",2.502,1494
"602","B",784.62432,1512
"603","B",1.17,1548
"604","B",2.6991,1566
"605","B",0.7191,1566
"606","B",20.376,1620
"607","B",3.564,1638
"608","B",5.382,1656
"609","B",3.042,1656
"610","B",2.0844,1656
"611","B",1.1745,1656
"612","B",1.0935,1656
"613","B",0.7191,1710
"614","B",23.418,1836
"615","D",2.862,1854
"616","B",1.35,1854
"617","B",6.03,1872
"618","B",2.3391,1926
"619","B",9.31644,1962
"620","B",3.564,1962
"621","B",2.79,1962
"622","B",3.6216,2016
"623","B",3.6,2052
"624","B",2.682,2052
"625","B",11.7,2070
"626","B",1.8,2070
"627","B",4.662,2160
"628","D",1.242,2214
"629","B",8.82,2250
"630","D",2.25,2250
"631","B",2.682,2268
"632","B",6.3,2358
"633","B",1.53,2376
"634","B",2.5182,2394
"635","D",2.322,2448
"636","B",8.991,2484
"637","B",5.742,2484
"638","B",31.824,2520
"639","B",6.03,2538
"640","B",2.997,2538
"641","B",2.7,2556
"642","B",2.682,2592
"643","B",0.9,2592
"644","B",1.4391,2646
"645","B",1.44,2754
"646","B",6.0255,2808
"647","B",9.3402,2826
"648","B",1.782,2826
"649","B",0.765,2826
"650","B",12.006,2844
"651","B",2.322,2844
"652","B",8.6391,2862
"653","B",18.36,2880
"654","B",8.1,2898
"655","D",90,3006
"656","D",2.2302,3006
"657","B",5.4,3150
"658","B",1.188,3276
"659","B",6.984,3366
"660","B",3.807,3366
"661","B",33.77394,3492
"662","B",3.564,3546
"663","D",10.1754,3564
"664","D",4.644,3600
"665","C",19.422,3618
"666","B",7.164,3636
"667","B",2.3391,3636
"668","B",2.1582,3636
"669","B",1.764,3744
"670","D",150.56298,3834
"671","D",2.7,3906
"672","B",40.77,3924
"673","B",7.2,3924
"674","D",3.6,3924
"675","B",31.3452,4122
"676","B",2.7,4140
"677","D",2.7,4212
"678","B",12.96234,4230
"679","B",1137.94704,4284
"680","D",25.34832,4500
"681","B",1.791,4554
"682","B",4.482,4644
"683","B",3.105,4680
"684","D",2.502,4680
"685","B",8.775,4698
"686","B",3.564,4860
"687","B",42.21,4986
"688","B",20.18232,5256
"689","B",9.09,5544
"690","C",7.4997,5670
"691","B",1.53,5724
"692","D",26.9595,5832
"693","F",6.66648,5976
"694","B",34.0389,6012
"695","B",1.8,6012
"696","B",22.5,6048
"697","B",18,6048
"698","B",17.28,6048
"699","B",4.122,6426
"700","D",15.96834,6714
"701","B",14.4,7326
"702","B",263.23884,8352
"703","C",5.742,8748
"704","C",90.86382,9216
"705","B",3.564,10980
"706","E",4.842,11952
"707","D",29.052,12042
"708","D",0.7191,12240
"709","D",0.66798,12348
"710","F",264.72672,12438
"711","D",7.47,13428
"712","D",2.466,13428
"713","B",71.41176,13518
"714","D",7.164,13680
"715","B",10.8,13734
"716","B",39.65634,15912
"717","F",56.6775,17604
"718","D",2.6145,18000
"719","D",2.43,18000
"720","D",29.68956,18810
"721","E",126.64296,19008
"722","B",7.758,19368
"723","D",2.34,19926
"724","D",6.3,20016
"725","B",2.5407,20124
"726","D",8.568,20322
"727","E",18,20808
"728","D",2.61,21060
"729","A",16.2,23850
"730","D",114.8535,24966
"731","D",1.728,25182
"732","D",16.236,25848
"733","D",1.44,26784
"734","E",7.326,27954
"735","A",8.982,28494
"736","D",2.502,29412
"737","D",2.862,29772
"738","D",116.3646,29844
"739","E",12.798,30240
"740","D",5.49,30240
"741","A",8.91,30852
"742","B",265.73976,31284
"743","B",20.80422,31410
"744","D",407.71098,32706
"745","B",51.06078,33228
"746","D",5.08374,33930
"747","D",482.544,34506
"748","D",89.54766,34848
"749","D",223.41708,35352
"750","A",0.9,35694
"751","B",1302.24402,38934
"752","F",135.91098,39006
"753","C",75.82284,39726
"754","D",1.7802,40770
"755","D",31.302,40968
"756","D",897.46272,41274
"757","D",38.13534,42354
"758","A",3.0555,42786
"759","D",993.9159,44082
"760","E",234.0936,46062
"761","D",1.764,47070
"762","B",188.89434,49122
"763","A",30.37194,54936
"764","A",7.6833,54936
"765","B",26.62146,55062
"766","C",30.4488,55548
"767","C",16.67178,56520
"768","D",640.926,57438
"769","D",5.60484,57762
"770","D",4.73364,58770
"771","B",1.71,58806
"772","D",9,61920
"773","D",16.956,62370
"774","A",3.582,63360
"775","D",44.73,64710
"776","D",233.77662,65826
"777","D",90,65844
"778","D",1.35,67320
"779","D",2.16,70758
"780","D",151.70886,74052
"781","F",32.46534,75906
"782","D",2.1591,75924
"783","A",4.5765,78408
"784","D",5.328,78804
"785","D",3.5955,80172
"786","D",18,86058
"787","D",2.07,86436
"788","D",4.122,88344
"789","D",1.26,88344
"790","B",21.6,88542
"791","D",5.562,93096
"792","D",90,93708
"793","E",18,95364
"794","B",6.5727,102042
"795","A",34.55082,104058
"796","A",15.94188,106092
"797","A",2.5686,114894
"798","A",12.582,116874
"799","A",3.6,116874
"800","D",8.442,118962
"801","D",18.387,119898
"802","A",2.646,121302
"803","D",87.98256,128646
"804","A",2.39004,129798
"805","D",15.444,130500
"806","D",61.308,133020
"807","D",30.91518,133020
"808","D",3.6,133020
"809","B",182.9979,139986
"810","D",1189.39734,142542
"811","D",25.74,143316
"812","F",1.09908,149274
"813","F",377.6247,170604
"814","F",13.1265,172638
"815","D",11.6532,182340
"816","D",325.58202,189558
"817","B",6.51942,193680
"818","D",25.5726,217350
"819","D",17.766,223362
"820","A",2.16,245610
"821","D",12.69,256950
"822","A",43.84386,270990
"823","D",4.482,274806
"824","E",43.40664,275220
"825","D",15.345,275814
"826","D",10.08,281772
"827","A",251.9784,306486
"828","A",57.03984,318168
"829","D",132.32196,340506
"830","A",3.78,357390
"831","F",109.55016,375246
"832","A",3.159,379638
"833","D",2.34,404154
"834","D",1.782,404154
"835","A",81.24606,429894
"836","D",2.07,462258
"837","D",8.505,519516
"838","D",2.16,540342
"839","D",0.7407,588456
"840","D",38.36448,589248
"841","A",73.03824,679068
"842","D",2.2869,732024
"843","E",1319.904,841716
"844","A",1426.03614,868608
"845","D",0.87048,873810
"846","D",9.22104,1365138
"847","B",58.98132,1658538
"848","D",14167.8882,14220
"849","C",5150.466,10278
"850","B",3.051,558
"851","C",5.70618,666
"852","D",520.8633,720
"853","B",2.79,828
"854","F",37.8585,846
"855","B",1.242,1026
"856","D",11.61,1044
"857","B",5.382,1098
"858","B",17.1,1134
"859","B",1.8,1206
"860","B",2.8773,1260
"861","B",5.184,1314
"862","B",6.462,1332
"863","D",5.2191,1368
"864","B",1.44,1368
"865","B",3.3651,1422
"866","B",12.0735,1440
"867","B",2.5551,1458
"868","B",5.85,1530
"869","E",12.042,1566
"870","B",1.7973,1566
"871","B",12.402,1602
"872","B",9.684,1656
"873","B",6.642,1656
"874","B",2.385,1656
"875","F",876.3534,1674
"876","B",18,1692
"877","B",8.082,1836
"878","B",6.93,1854
"879","B",4.842,1872
"880","B",3.042,1872
"881","B",0.72,1908
"882","B",2.682,1962
"883","B",50.7321,1980
"884","B",19.62,1980
"885","B",16.0173,1980
"886","B",6.102,2016
"887","B",11.817,2070
"888","B",6.5331,2070
"889","B",3.681,2070
"890","B",1.71,2070
"891","B",1.782,2106
"892","B",18,2160
"893","B",9.62334,2160
"894","D",4.5261,2160
"895","B",18.036,2178
"896","B",1.062,2268
"897","B",12.492,2286
"898","B",3.357,2286
"899","B",2.682,2322
"900","B",12.924,2340
"901","B",18,2358
"902","B",9.8982,2394
"903","B",13.59,2484
"904","B",2.7,2556
"905","B",4.896,2610
"906","D",43.7742,2664
"907","B",11.475,2718
"908","B",1.62,2718
"909","B",8.505,2826
"910","C",7.03458,2826
"911","B",4.6791,2826
"912","B",8.244,2844
"913","B",2.502,2844
"914","B",18,2898
"915","B",15.39,2934
"916","D",3.33,2934
"917","B",2.8791,2934
"918","B",11.90988,3006
"919","B",3.222,3024
"920","B",8.28,3096
"921","B",1.17,3096
"922","B",2.6442,3114
"923","D",1.71,3186
"924","B",1.872,3204
"925","B",10.998,3222
"926","B",1.242,3600
"927","B",27,3636
"928","B",85.977,3744
"929","C",14.14584,3816
"930","D",5.9922,3906
"931","C",118.341,3978
"932","D",332.69634,4050
"933","D",31.79556,4140
"934","B",18,4302
"935","B",45.88344,4464
