"","BuildType","ClaimCost","SumInsured"
"936","B",3.582,4464
"937","D",1.242,4500
"938","D",45,5022
"939","D",1.89,5040
"940","D",1.2591,5400
"941","B",2085.33168,5490
"942","B",12.24,5598
"943","D",4.9221,5598
"944","D",70.1568,5814
"945","D",5.4,5814
"946","B",934.77276,6156
"947","B",50.70384,6174
"948","E",400.81914,6246
"949","C",173.65392,6246
"950","B",45,6246
"951","B",10.782,6300
"952","B",8.88444,6300
"953","D",9,6624
"954","B",4.167,6804
"955","B",2.7,6894
"956","B",9.20034,7398
"957","D",2.862,7524
"958","D",6.3387,7668
"959","E",984.11472,7830
"960","C",1672.82496,8640
"961","D",4.96116,9306
"962","B",94.95,9774
"963","B",16.164,10980
"964","B",93.8007,11106
"965","D",1.0782,11124
"966","C",45,11394
"967","E",18,11394
"968","D",2.502,11520
"969","E",2.1582,11952
"970","B",53.802,12438
"971","D",2.7369,12582
"972","D",22.86,13032
"973","D",1.8,13428
"974","D",2.862,13680
"975","C",213.417,14058
"976","D",5.0337,14364
"977","E",46.512,14670
"978","E",1.17,14814
"979","A",12.474,15030
"980","D",22.8492,15192
"981","D",1.4391,15282
"982","D",5.6457,15462
"983","D",1.0782,15768
"984","D",83.72754,16074
"985","D",18,16506
"986","D",1.7991,18000
"987","D",8.262,18792
"988","D",2.7,18792
"989","D",28.63566,19980
"990","A",5.92146,20718
"991","D",14.5791,24858
"992","D",1.0791,25182
"993","D",164.583,25848
"994","A",3.6,27918
"995","D",15853.284,28278
"996","D",90,28476
"997","D",6.642,30186
"998","D",2.7,30240
"999","D",2.25,30240
"1000","C",487.95012,30330
"1001","D",345.7521,30690
"1002","F",60.84216,31284
"1003","F",39.0492,31644
"1004","C",128.84922,32922
"1005","D",1.98,34884
"1006","D",5.80878,40050
"1007","D",45,42354
"1008","A",3.5955,42786
"1009","D",3.204,45990
"1010","D",18,46080
"1011","D",3.2391,46080
"1012","D",3.6,47070
"1013","D",1.8,47844
"1014","D",5.85,48438
"1015","D",88.03242,49842
"1016","A",4.5,50688
"1017","D",13.05,51588
"1018","D",0.702,51588
"1019","D",18,52128
"1020","A",4.58964,54936
"1021","A",37.68804,55080
"1022","D",21.72312,55818
"1023","D",39.384,57438
"1024","A",18,59526
"1025","A",4.71636,59526
"1026","B",6.8949,60228
"1027","B",45,60264
"1028","B",11.98458,60264
"1029","D",151.43022,61920
"1030","D",7.2,62280
"1031","D",1.17,63072
"1032","D",0.702,63072
"1033","D",394.58934,63540
"1034","A",5.81634,65394
"1035","A",7.2,70758
"1036","A",3.6,70758
"1037","D",0.8982,71406
"1038","D",1.2582,76626
"1039","B",36.702,77688
"1040","A",18.98208,79668
"1041","C",3.07944,84546
"1042","D",1.0791,88344
"1043","A",319.79214,89028
"1044","D",24.79896,90450
"1045","D",66.64518,93096
"1046","D",1426.59072,96696
"1047","D",27,96696
"1048","D",3.33,98370
"1049","D",275.24484,99558
"1050","D",12.79584,99558
"1051","D",3.582,105354
"1052","D",64.97622,106038
"1053","A",4.66362,106092
"1054","A",15.55884,110826
"1055","A",8.802,110826
"1056","A",354.4038,116874
"1057","D",15.3,117000
"1058","B",126.04284,117180
"1059","D",2.85534,119106
"1060","A",6.02784,120114
"1061","D",18,120834
"1062","A",8.1,121302
"1063","D",229.90554,125892
"1064","D",18,130500
"1065","D",78.24636,143316
"1066","A",30.74184,143784
"1067","A",16.8777,143784
"1068","D",10.75284,165510
"1069","C",243.3978,168336
"1070","D",363.89898,188226
"1071","D",1.422,189846
"1072","F",314.2998,196506
"1073","D",50.12568,200880
"1074","D",12.132,204048
"1075","F",898.67016,213948
"1076","D",15.228,217260
"1077","D",4909.20534,223524
"1078","A",55.5624,234342
"1079","D",13.842,250434
"1080","E",51.2829,255996
"1081","D",673.80012,260334
"1082","F",3249.702,266346
"1083","D",4.5,291510
"1084","D",88.65846,309420
"1085","D",96.68898,318528
"1086","D",207.6921,337752
"1087","F",336.969,343458
"1088","D",131.42934,351018
"1089","A",2707.1496,363276
"1090","D",111.5685,372132
"1091","D",599.35032,376596
"1092","A",16.9704,379638
"1093","A",140.30334,399654
"1094","E",231.89976,451764
"1095","D",18,463554
"1096","E",90,482850
"1097","D",3.6,519516
"1098","D",45.936,532476
"1099","D",2.43,540342
"1100","D",22.5,541152
"1101","D",355.77954,560124
"1102","B",71.703,562896
"1103","A",293.5971,653292
"1104","A",74.04498,717300
"1105","D",5.4,750600
"1106","A",141.0561,787626
"1107","A",51.20244,787626
"1108","F",6910.96608,1014570
"1109","A",1157.35104,1658538
"1110","A",63.45,1693404
"1111","D",45656.52138,130878
"1112","E",2798.7705,98334
"1113","B",1.8,270
"1114","B",14.526,576
"1115","B",2.5191,684
"1116","B",2.7,792
"1117","B",4.05,828
"1118","B",32.1129,900
"1119","B",3.06,900
"1120","B",2.331,900
"1121","B",4.13892,936
"1122","F",53.334,990
"1123","B",7.632,990
"1124","D",2.322,1026
"1125","B",2.1591,1026
"1126","B",2.09394,1026
"1127","B",1.08,1026
"1128","B",2.682,1044
"1129","B",24.93,1080
"1130","B",7.2,1098
"1131","B",29.4057,1260
"1132","B",3.456,1260
"1133","B",1.764,1260
"1134","B",10.2222,1314
"1135","B",19.98684,1332
"1136","B",19.656,1350
"1137","B",1.611,1350
"1138","B",4.482,1368
"1139","F",76.89132,1440
"1140","B",8.6382,1440
"1141","B",1.8,1440
"1142","B",3.15,1458
"1143","B",4.46544,1512
"1144","B",2.4255,1512
"1145","B",0.153,1512
"1146","B",13.5,1566
"1147","B",7.2,1602
"1148","B",0.8991,1602
"1149","B",2.3391,1656
"1150","B",2.7,1764
"1151","B",0.9,1764
"1152","B",3.222,1782
"1153","B",2.1582,1782
"1154","B",86.9886,1800
"1155","B",5.22,1800
"1156","B",2.3391,1800
"1157","B",2.52,1854
"1158","B",3.402,1872
"1159","B",1.8,1890
"1160","D",24.32142,1908
"1161","B",36,1962
"1162","B",9.9,1962
"1163","B",1.764,1962
"1164","B",36,1980
"1165","B",6.21,1998
"1166","B",3.6,1998
"1167","B",24.8544,2070
"1168","B",2.1591,2070
"1169","D",307.61136,2250
"1170","B",4.0221,2250
"1171","B",2.5191,2358
"1172","B",10.764,2448
"1173","B",8.3394,2448
"1174","B",1.962,2556
"1175","B",8.622,2664
"1176","D",8.406,2664
"1177","B",4.482,2664
"1178","B",8.964,2754
"1179","B",3.042,2772
"1180","B",18,2826
"1181","B",322.6509,2844
"1182","B",2.88,2844
"1183","B",1.0395,2880
"1184","B",1.782,3114
"1185","B",45.3672,3258
"1186","B",1.035,3276
"1187","C",1.95642,3294
"1188","D",31.84884,3456
"1189","B",21.7044,3546
"1190","C",62.15688,3816
"1191","C",21.2787,3816
"1192","C",10.36944,3816
"1193","B",6.45534,3924
"1194","A",6.2982,3924
"1195","B",18,4140
"1196","B",5.535,4302
"1197","B",1.43946,4500
"1198","B",12.0249,4950
"1199","B",69.6996,5328
"1200","B",1.62,5328
"1201","D",33.8517,5400
"1202","B",3.582,5454
"1203","D",77.1822,5508
"1204","B",1.8,5544
"1205","B",17.52066,5598
"1206","B",5.022,5724
"1207","D",9.9,5814
"1208","B",5.31,6048
"1209","B",46.01322,6462
"1210","B",12.402,6498
"1211","E",0.648,7416
"1212","B",72,7578
"1213","B",253.77768,7668
"1214","B",130.8744,8046
"1215","D",2004.57666,8100
"1216","B",18.6678,8154
"1217","B",7.5105,9486
"1218","D",22.032,9738
"1219","B",80.41914,9900
"1220","B",122.48964,11214
"1221","D",2.7,11322
"1222","B",13.25214,11484
"1223","C",58.3011,12204
"1224","D",12.15,12366
"1225","D",4.617,12492
"1226","D",6.75,12654
"1227","D",22.7871,12690
"1228","D",31.38822,13410
"1229","E",183.21084,13950
"1230","B",60.45804,14382
"1231","D",1.8,14760
"1232","E",9.9558,14814
"1233","A",18,14922
"1234","E",146.33208,15192
"1235","D",21.1041,15750
"1236","B",37.233,16686
"1237","F",5.3721,18360
"1238","C",27.2898,19170
"1239","C",6812.99856,19404
"1240","D",36,19548
"1241","B",5.382,19998
"1242","D",2.862,19998
"1243","B",29.0232,20124
"1244","D",8.964,20250
"1245","C",1962.65016,20646
"1246","B",23.382,21834
"1247","D",14.4,22122
"1248","D",3.6,25182
"1249","B",13.7475,26244
"1250","B",29.41272,26316
"1251","A",26.145,26316
"1252","D",310.64112,27648
"1253","E",21.6,27954
"1254","B",3.042,27954
"1255","D",16.821,28116
"1256","B",54.37188,28638
"1257","F",217.2375,28800
"1258","A",4.482,28890
"1259","D",2.862,29412
"1260","D",6.102,29772
"1261","D",12.978,29844
"1262","D",9.45,29844
"1263","D",2.52,29844
"1264","D",2.16,29844
"1265","C",1149.66,32166
"1266","C",18,32454
"1267","D",10.152,32598
"1268","A",72,33678
"1269","D",9.41184,33786
"1270","D",0.405,35712
"1271","D",15.55218,37836
"1272","C",54,38232
"1273","F",202.437,38700
"1274","D",10.58418,39690
"1275","D",3.96,40914
"1276","B",101.2455,45108
"1277","D",0.8037,45990
"1278","B",18,46080
"1279","E",2.322,47016
"1280","D",3.96,47070
"1281","A",4.356,47088
"1282","A",19.25712,49896
"1283","A",5.85,49896
"1284","B",6.57,51588
"1285","B",5.85,51588
"1286","B",1.422,51588
"1287","D",557.29206,53622
"1288","D",6.525,54774
"1289","B",22.851,55062
"1290","D",7.74,55548
"1291","B",18,55566
"1292","D",24.41196,57204
"1293","D",44.05464,57510
"1294","D",4.86,59742
"1295","D",27.477,60372
"1296","A",39.9663,60390
"1297","D",20.69784,61920
"1298","D",7.70598,62280
"1299","A",59.742,63360
"1300","D",36,67032
"1301","D",0.765,70758
"1302","D",107.50068,72594
"1303","D",0.72,76626
"1304","D",45.6795,78642
"1305","A",5.31,78642
"1306","D",36,78804
"1307","D",2630.85606,79254
"1308","E",1.6191,81540
"1309","D",18,82026
"1310","D",108,83898
"1311","D",108,84240
"1312","A",64.06218,84474
"1313","D",12.60018,85374
"1314","D",1.6191,90954
"1315","E",29444.65542,91278
"1316","D",11.07846,93762
"1317","D",2.7,96048
"1318","D",18,96984
"1319","D",5.94,97002
"1320","D",2.7,97938
"1321","A",156.76002,106632
"1322","D",5.0391,109674
"1323","D",54.3519,112464
"1324","D",64.746,117144
"1325","B",8.3592,121482
"1326","B",96.99264,121752
"1327","D",91.161,125586
"1328","D",9551.7027,126144
"1329","D",8.91,133020
"1330","D",4.95,133884
"1331","D",42.59466,136278
"1332","D",18,141210
"1333","D",334.31634,148176
"1334","A",32.4918,149400
"1335","D",10.3635,155052
"1336","D",177.9606,155340
"1337","D",0.9,159804
"1338","D",18,163476
"1339","D",33.28074,170658
"1340","D",2700,190098
"1341","D",6.75,192942
"1342","D",129.4758,194076
"1343","D",113.1264,200718
"1344","B",51.59376,202032
"1345","D",20.4696,205776
"1346","D",15.8625,207378
"1347","D",13.7475,207378
"1348","A",22.16952,214722
"1349","B",72,214848
"1350","D",6.453,228312
"1351","A",28.8909,228456
"1352","D",30.61062,232740
"1353","D",34.75332,235062
"1354","D",15.0588,236556
"1355","A",27.11538,245610
"1356","D",36,253134
"1357","A",6.53634,258030
"1358","A",17.5545,258930
"1359","C",3.81888,263862
"1360","B",31.24638,263916
"1361","D",2.97,274806
"1362","D",38.57418,281772
"1363","D",18,311850
"1364","D",39.55572,313596
"1365","A",209.30454,357210
"1366","B",41.7762,383922
"1367","D",36,392454
"1368","F",99.117,404154
"1369","D",2.88,404154
"1370","B",3.744,421650
"1371","A",8.46378,435168
"1372","D",351.61578,441342
"1373","D",5.4,462078
"1374","D",3.528,462078
"1375","A",685.4436,489834
"1376","A",30.14496,566514
"1377","D",2.4948,569376
"1378","D",314.93484,589248
"1379","F",12075.2802,636642
"1380","D",2.511,750600
"1381","A",49.545,775674
"1382","F",193.302,862650
"1383","D",72,982116
"1384","D",1.746,1365138
"1385","D",86.7744,1396620
"1386","E",21.3894,1559574
"1387","B",10.4211,522
"1388","B",0.75618,720
"1389","B",12.04434,936
"1390","D",5.724,936
"1391","B",2.6793,936
"1392","C",18,1026
"1393","B",3.942,1242
"1394","B",7.614,1278
"1395","B",3.6,1350
"1396","B",1.6191,1440
"1397","B",38.6802,1458
"1398","B",0.711,1512
"1399","B",1.6191,1566
"1400","B",7.164,1656
"1401","B",2.682,1710
"1402","B",2.682,1746
"1403","E",18,1764
"1404","B",8.361,1782
"1405","B",18,1836
"1406","B",14.661,1962
"1407","B",6.561,2070
"1408","B",4.8222,2070
"1409","D",1.08,2160
"1410","B",22.2372,2250
"1411","B",18,2286
"1412","B",11.88,2376
"1413","B",18,2394
"1414","B",1.6191,2448
"1415","B",9,2538
"1416","B",1.0935,2628
"1417","B",1.4391,2646
"1418","D",0.675,2682
"1419","B",17.7723,2880
"1420","B",9,2916
"1421","B",2.6802,3096
"1422","B",5.04,3114
"1423","B",24.7779,3726
"1424","B",18,3762
"1425","B",9.23022,3762
"1426","C",90.23256,3816
"1427","C",57.9672,4302
"1428","D",97.29738,4554
"1429","B",1.98,5022
"1430","B",20.961,5256
"1431","D",8.28,5400
"1432","B",45.74754,5598
"1433","B",19.89864,5724
"1434","B",4.482,6228
"1435","B",290.63448,6354
"1436","B",1445.48586,7398
"1437","D",13.2372,7632
"1438","B",141.50052,7722
"1439","D",9,9198
"1440","B",60.58206,9612
"1441","B",2.52,9864
"1442","C",19.95318,11196
"1443","D",5.2182,11286
"1444","B",25.938,11358
"1445","C",6437.19654,11664
"1446","B",90,11880
"1447","D",3.0924,12654
"1448","D",30.71934,13050
"1449","A",13.23,14436
"1450","E",13.311,14814
"1451","D",2.151,15282
"1452","B",9,15768
"1453","B",33.1434,15966
"1454","F",3.5208,16038
"1455","E",30.46446,18864
"1456","D",51.1434,19998
"1457","D",1.602,21672
"1458","A",10.485,26316
"1459","D",54,26370
"1460","A",9,27918
"1461","D",290.92284,29466
"1462","D",4.2282,30150
"1463","D",9.684,30240
"1464","D",56.71872,31284
"1465","D",63.86958,37080
"1466","D",6.165,37944
"1467","D",24.534,38520
"1468","D",5.4,40500
"1469","D",45,46854
"1470","D",1.8,47070
"1471","B",4.842,48438
"1472","D",90,48492
"1473","D",50.994,48636
"1474","D",91.026,49626
"1475","D",104.7519,50400
"1476","D",12.5955,59454
"1477","B",5.85,61920
"1478","A",46.962,63360
"1479","D",9.531,66960
"1480","D",1.7685,70758
"1481","D",308.1699,71820
"1482","D",1460.54574,72360
"1483","D",45.1476,72648
"1484","A",4.32,78408
"1485","A",1.0791,78408
"1486","D",28.35018,82746
"1487","D",3.15,90576
"1488","E",69.95394,92232
"1489","D",2.88,96714
"1490","D",10.8,99756
"1491","D",27,101700
"1492","A",90,104058
"1493","A",14.346,106092
"1494","A",8.56584,106632
"1495","B",2724.8193,107586
"1496","A",616.1085,109368
"1497","D",2.8791,109674
"1498","D",189.98262,112842
"1499","A",18,116874
"1500","A",3.222,116874
"1501","A",1.962,121302
"1502","D",1440,131562
"1503","B",295.93818,136458
"1504","B",109.19322,138852
"1505","D",1774.26648,139302
"1506","D",598.76838,144054
"1507","D",6.0903,154692
"1508","D",463.34682,156924
"1509","A",10.404,162990
"1510","D",22.7934,166284
"1511","D",18.8091,175374
"1512","B",18,177786
"1513","D",2700,180594
"1514","A",180,180630
"1515","D",15.921,181062
"1516","D",13.7475,181062
"1517","D",18.2313,182880
"1518","D",9,185490
"1519","B",180,192636
"1520","A",181.035,195804
"1521","D",3600,195912
"1522","B",82.2186,201186
"1523","D",90,231966
"1524","B",72,232740
"1525","A",236.9385,234342
"1526","D",63.1548,235980
"1527","D",142.73334,255384
"1528","D",748.84986,263448
"1529","D",7.2,268884
"1530","B",3.402,274806
"1531","D",3.222,274806
"1532","D",2.691,291888
"1533","D",27,300024
"1534","D",18,312984
"1535","B",184.03758,351018
"1536","A",2089.25262,398736
"1537","D",1.8,419652
"1538","A",36,443448
"1539","D",2.7,462078
"1540","A",64.48032,501102
"1541","A",9,501102
"1542","E",3605.9598,546498
"1543","A",14.2452,556992
"1544","E",69.6825,562302
"1545","E",16.69788,562302
"1546","D",3.7971,588456
"1547","A",80.6634,622638
"1548","D",8.64,750600
"1549","A",4.3182,791226
"1550","D",58.15458,1365138
"1551","D",9,1396620
"1552","D",8588.754,1648818
"1553","B",11.16,1836
"1554","B",4.67838,6138
"1555","D",78.56406,982116
"1556","D",251.94816,2070
"1557","B",3.0375,2142
"1558","B",9.07254,12888
"1559","D",45.9279,44640
"1560","D",5.022,8550
"1561","B",1.602,5364
"1562","D",25.56,69156
"1563","B",1.809,2826
"1564","B",4.122,2790
"1565","B",14.022,2070
"1566","B",1.2798,6768
"1567","B",3.978,2466
"1568","D",3.402,53748
"1569","B",3.582,4302
"1570","D",33.822,882
"1571","F",69.02208,1014570
"1572","B",2.7,1476
"1573","D",100.863,19548
"1574","E",180.95112,14670
"1575","D",18.53982,131940
"1576","B",6.102,2232
"1577","E",1544.90382,67860
"1578","D",2.86668,400140
"1579","C",16.17822,53388
"1580","D",1.44,873810
"1581","D",2.12544,86238
"1582","C",22.5,48510
"1583","D",4.5126,20052
"1584","D",0.27,51588
"1585","D",26.6166,666414
"1586","A",41.2137,1014570
"1587","D",1.395,76806
"1588","A",3.582,47088
"1589","D",0.54,26784
"1590","B",0.81,3600
"1591","B",2.5902,3096
"1592","B",2.30112,1584
"1593","D",0.54,108288
"1594","D",2.142,1400796
"1595","B",1.782,522
"1596","A",472.74732,211536
"1597","D",31.896,5022
"1598","A",96.6033,223416
"1599","B",13.95,1242
"1600","A",0.9531,33678
"1601","A",2.7,48384
"1602","B",7.20954,4788
"1603","D",2.502,404154
"1604","B",1.242,1026
"1605","D",1.242,540342
"1606","B",3.762,4608
"1607","D",4.932,15534
"1608","E",17.406,6228
"1609","D",165.66804,173628
"1610","B",8.406,1566
"1611","B",2.682,2196
"1612","D",0.3051,10332
"1613","D",0.8991,20862
"1614","B",3.402,3078
"1615","B",0.945,2034
"1616","B",18.9,2178
"1617","B",1.7991,1026
"1618","D",393.88842,154692
"1619","B",1.4382,2826
"1620","D",2.43,55548
"1621","D",3.15,20862
"1622","B",2.16,2664
"1623","B",7.7031,2070
"1624","B",10.665,5184
"1625","D",9723.62304,128232
"1626","B",4.05,2358
"1627","B",2.682,1494
"1628","D",42.03486,38340
"1629","D",27,243432
"1630","D",2.88,64710
"1631","B",7.002,414
"1632","D",2.25,18000
"1633","B",3.51,1368
"1634","B",325.8,1836
"1635","B",2406.94146,164772
"1636","D",73.3644,224640
"1637","D",7.7274,30240
"1638","B",7.146,2196
"1639","B",8.55432,1764
"1640","B",1.6191,2070
"1641","D",4.8591,109674
"1642","B",6.84,1836
"1643","D",5.391,61920
"1644","A",14.9904,775674
"1645","B",6.6717,918
"1646","D",317.13282,24408
"1647","D",23.382,20520
"1648","D",23.97384,389610
"1649","B",1.8,1656
"1650","B",39.4605,319086
"1651","D",35.10756,62910
"1652","B",1.35,2700
"1653","D",3.6,1400796
"1654","D",827.95374,6624
"1655","B",3.2355,1548
"1656","E",1631.99862,332946
"1657","A",2.682,426078
"1658","B",0.63,954
"1659","D",2.304,45990
"1660","D",2.7,462078
"1661","D",1.44,18630
"1662","D",8.469,522
"1663","D",4.482,3384
"1664","D",4647.26736,291510
"1665","D",5.877,58770
"1666","B",3.9591,2160
"1667","D",6.21,27342
"1668","B",24.75468,3564
"1669","A",35.3952,32652
"1670","D",1.782,61920
"1671","B",1.4382,1746
"1672","D",2.034,15282
"1673","D",6.75,45108
"1674","D",7.11,1400796
"1675","D",9.81,756
"1676","B",3.042,1476
"1677","B",8.1,3006
"1678","B",4.6683,193680
"1679","D",33.588,78858
"1680","B",3.564,702
"1681","D",118.68624,476622
"1682","D",28.71,30240
"1683","B",2.74482,2610
"1684","D",35.83926,114390
"1685","B",8.55,1044
"1686","D",1.35,2466
"1687","D",26.154,1365138
"1688","D",0.45,4266
"1689","A",293.0121,197334
"1690","D",1.35,1800
"1691","D",1.6191,135072
"1692","B",1.602,2988
"1693","D",1.08,26784
"1694","B",0.8991,1170
"1695","D",2.34,1365138
"1696","D",5.1705,873810
"1697","D",11.88,4428
"1698","A",3.6,367038
"1699","D",1349.19954,244530
"1700","D",32.778,750600
"1701","D",0.3042,233406
"1702","A",2.0511,47088
"1703","B",4.482,4050
"1704","D",17.6823,666414
"1705","D",15.372,47844
"1706","D",17.85564,316854
"1707","C",77.33088,23436
"1708","B",398.67408,11052
"1709","B",29.7,2934
"1710","D",0.9,2250
"1711","B",19.908,1872
"1712","D",3.186,45990
"1713","A",1.8,13914
"1714","D",2.61,274806
"1715","B",10.13166,2052
"1716","C",91.47186,15012
"1717","B",3.222,1566
"1718","E",48930.43842,275220
"1719","A",190541.69784,657828
"1720","A",899.49168,657828
"1721","D",1.0782,576
"1722","B",14.04,1458
"1723","D",7511.76234,31284
"1724","B",5.4,1566
"1725","D",1.377,9612
"1726","B",1.764,612
"1727","D",195.426,791640
"1728","B",61.983,20556
"1729","D",8.244,4770
"1730","B",3.0798,2898
"1731","B",63.18,1872
"1732","B",1.2582,1026
"1733","B",1.1421,1026
"1734","B",15.38694,3240
"1735","D",2.835,38304
"1736","B",7.5825,3294
"1737","D",10.62936,18522
"1738","A",15.669,34020
"1739","D",79.2,19170
"1740","D",1.17,404154
"1741","D",2.7729,131994
"1742","D",5.22,532476
"1743","D",6.13728,109656
"1744","D",3.78,5922
"1745","B",1.602,522
"1746","B",2.502,2880
"1747","D",24.3,133020
"1748","B",1.8549,1548
"1749","B",1.242,1314
"1750","B",49.83768,14274
"1751","D",1.17,14274
"1752","B",16.47,1440
"1753","B",3.924,1332
"1754","D",40.6278,177426
"1755","D",15.9975,72648
"1756","B",5.31,1098
"1757","D",2.16,732024
"1758","B",4.662,1314
"1759","B",2.862,3330
"1760","D",1.602,2160
"1761","D",1.44,14040
"1762","B",21.33,13590
"1763","E",192.03174,332946
"1764","A",117.423,237708
"1765","A",42.804,45576
"1766","D",3.906,92736
"1767","D",5.3325,155358
"1768","B",0.81,774
"1769","D",3.564,47844
"1770","B",5.76,1566
"1771","D",230.9787,192942
"1772","D",1.539,40752
"1773","D",1.4382,7956
"1774","B",4.3236,1944
"1775","D",51.516,96264
"1776","D",136.0575,73620
"1777","D",5.06862,18738
"1778","D",4.491,774
"1779","D",561.57084,451026
"1780","D",21.006,35712
"1781","F",15.7671,33804
"1782","B",1.7415,2268
"1783","B",2.23974,2754
"1784","B",78.79014,343458
"1785","D",13.5,22518
"1786","D",4.842,46980
"1787","D",137.39994,221778
"1788","B",6.14016,972
"1789","A",2.682,54000
"1790","B",8.5887,3582
"1791","B",1.2582,828
"1792","B",5.4315,3240
"1793","D",45,4050
"1794","D",35.2647,227448
"1795","D",2.16,8352
"1796","F",1307.466,119196
"1797","B",103.05324,4788
"1798","B",133.11,122310
"1799","E",1682.70318,10998
"1800","D",9.5985,61920
"1801","A",3.6261,78408
"1802","D",3.582,14274
"1803","F",112.104,101718
"1804","F",34.41456,23130
"1805","D",218.22516,208710
"1806","B",3.42,2358
"1807","D",495.1314,84816
"1808","D",6.13242,23850
"1809","B",2.295,1062
"1810","D",30.3021,861804
"1811","D",57.99366,101988
"1812","B",3.3282,1440
"1813","D",4.7538,11340
"1814","D",10.485,61920
"1815","D",271.278,381420
"1816","B",11.52,2970
"1817","B",30.64014,9180
"1818","D",253.36944,7254
"1819","E",2.556,8334
"1820","D",26.61264,92988
"1821","D",11.106,126144
"1822","C",0.9,22716
"1823","D",13.77594,6174
