"","Year","Loss"
"1",1990,7898639
"2",1991,7487232
"3",1991,7389404
"4",1988,6924749
"5",1993,6685249
"6",1991,5625469
"7",1993,5549253
"8",1994,5342757
"9",1994,5127321
"10",1988,5100022
"11",1996,5093348
"12",1991,5091018
"13",1997,4964404
"14",1996,4436698
"15",1991,4336522
"16",1992,4179473
"17",1993,4165903
"18",2000,4147371
"19",1991,4098729
"20",1999,4050863
"21",1992,4017918
"22",1997,3959984
"23",1993,3800583
"24",2000,3780724
"25",2000,3772762
"26",1996,3737536
"27",1997,3663606
"28",1996,3659823
"29",1996,3652370
"30",1989,3585705
"31",1991,3553179
"32",1992,3442131
"33",1998,3435167
"34",1992,3416687
"35",1990,3416280
"36",1989,3409999
"37",1990,3357615
"38",1996,3322206
"39",1996,3221608
"40",1997,3208714
"41",1991,3200153
"42",2000,3180845
"43",1998,3165311
"44",1992,3112822
"45",1988,3099488
"46",1999,3082872
"47",1997,3028963
"48",1999,3014664
"49",1996,3005770
"50",1997,3001082
"51",1997,3000136
"52",1995,2988180
"53",1995,2964973
"54",2001,2955629
"55",2000,2953382
"56",1990,2939669
"57",1992,2939625
"58",1995,2910058
"59",1992,2901551
"60",1999,2892637
"61",1999,2890475
"62",1999,2890272
"63",1992,2866621
"64",1993,2861923
"65",1997,2854428
"66",2000,2829573
"67",1989,2820210
"68",1997,2811912
"69",1995,2807814
"70",1994,2789514
"71",1996,2774459
"72",1997,2773315
"73",1997,2757499
"74",1996,2746830
"75",2000,2736901
"76",1998,2732120
"77",1997,2729981
"78",1995,2710528
"79",1988,2707377
"80",1995,2702593
"81",1998,2685464
"82",1988,2671300
"83",1988,2671184
"84",1996,2669879
"85",1990,2669112
"86",1990,2667010
"87",1996,2648328
"88",1994,2643053
"89",1998,2643012
"90",1995,2630890
"91",1990,2627588
"92",1990,2626776
"93",2000,2613311
"94",2000,2605273
"95",1989,2602479
"96",1992,2580026
"97",1998,2541525
"98",2000,2523393
"99",2000,2516735
"100",1996,2510799
"101",1991,2504247
"102",1989,2495747
"103",1991,2487293
"104",1988,2485421
"105",1996,2462277
"106",2000,2452286
"107",1991,2438994
"108",1993,2431623
"109",1991,2429869
"110",1997,2429039
"111",1999,2426782
"112",1992,2425338
"113",1991,2390875
"114",1999,2388606
"115",2001,2386532
"116",1997,2369036
"117",1996,2361229
"118",1995,2359498
"119",1994,2339182
"120",1993,2327351
"121",1992,2321243
"122",1997,2318778
"123",1999,2312286
"124",1998,2302612
"125",1995,2292216
"126",1993,2284612
"127",1990,2280621
"128",1991,2274747
"129",1996,2274081
"130",1992,2266644
"131",2000,2263659
"132",1994,2262964
"133",1998,2258157
"134",1996,2254849
"135",1996,2253664
"136",1997,2253043
"137",1998,2252809
"138",1997,2250003
"139",1997,2249616
"140",1998,2247724
"141",1995,2217231
"142",1998,2209462
"143",1995,2203390
"144",1996,2202351
"145",1998,2200101
"146",2000,2198386
"147",1997,2196945
"148",1996,2191835
"149",1996,2181496
"150",1994,2161008
"151",2001,2142567
"152",1998,2138317
"153",1994,2127966
"154",1992,2122457
"155",1999,2119823
"156",1999,2119630
"157",1999,2119238
"158",1990,2118573
"159",1993,2110905
"160",1995,2098319
"161",1990,2080717
"162",1994,2074140
"163",1993,2071336
"164",2001,2062311
"165",2001,2061890
"166",1994,2049804
"167",1989,2048196
"168",1996,2042148
"169",1993,2032776
"170",1993,2030947
"171",2001,2024884
"172",1998,2002975
"173",1999,2001364
"174",1989,1991735
"175",1991,1991614
"176",1993,1988149
"177",1998,1983639
"178",2000,1981079
"179",1990,1978791
"180",1995,1971521
"181",1993,1969127
"182",1995,1967219
"183",1995,1958465
"184",1998,1957966
"185",2000,1957772
"186",1999,1944368
"187",1992,1940216
"188",1998,1939176
"189",1994,1937239
"190",2000,1933303
"191",1999,1927109
"192",1999,1927109
"193",1999,1927106
"194",1999,1927100
"195",1998,1923797
"196",1995,1923299
"197",1989,1923234
"198",1995,1917512
"199",1993,1908406
"200",1990,1894452
"201",1999,1887624
"202",2000,1886326
"203",1995,1885334
"204",1998,1883754
"205",1998,1882101
"206",1994,1878103
"207",1993,1875707
"208",1988,1866445
"209",2000,1863745
"210",1995,1856397
"211",1994,1853587
"212",2000,1852238
"213",1992,1846440
"214",1995,1839750
"215",1995,1834039
"216",1996,1833711
"217",1988,1831366
"218",1995,1829415
"219",1997,1827968
"220",1999,1827254
"221",1989,1826203
"222",1998,1822366
"223",1996,1819529
"224",1998,1806086
"225",1995,1799443
"226",1998,1785859
"227",2000,1785433
"228",1998,1783378
"229",1999,1773792
"230",1990,1772746
"231",1998,1761610
"232",1991,1757112
"233",1996,1747575
"234",1999,1736584
"235",1998,1736060
"236",1999,1734316
"237",1995,1730524
"238",1997,1729568
"239",1998,1714019
"240",1995,1705852
"241",1993,1705390
"242",2000,1697681
"243",1995,1691781
"244",1995,1685843
"245",1988,1684119
"246",1992,1680461
"247",1991,1676506
"248",2000,1672418
"249",1997,1670479
"250",1997,1669430
"251",2001,1661136
"252",2000,1659337
"253",1998,1656883
"254",1998,1649571
"255",1995,1649543
"256",1997,1647440
"257",1991,1645386
"258",1992,1645278
"259",1995,1643839
"260",1999,1642822
"261",1995,1641220
"262",1999,1633986
"263",1998,1632300
"264",1989,1631789
"265",2000,1631502
"266",1997,1628985
"267",1993,1626582
"268",1992,1619287
"269",1989,1608016
"270",1994,1606862
"271",1992,1604833
"272",1995,1600152
"273",1997,1594839
"274",1997,1590103
"275",1997,1586570
"276",1992,1582881
"277",1993,1576328
"278",1998,1573049
"279",1992,1572710
"280",1996,1570588
"281",1991,1565066
"282",1991,1560838
"283",1997,1558509
"284",1997,1554947
"285",1998,1553702
"286",1995,1553598
"287",1998,1538178
"288",1991,1537264
"289",1991,1520162
"290",1996,1518229
"291",1997,1503897
"292",1995,1503115
"293",1997,1502477
"294",1996,1501420
"295",1997,1498895
"296",1997,1496721
"297",1997,1496072
"298",1994,1489061
"299",1995,1488727
"300",1993,1488253
"301",1989,1486443
"302",1991,1485934
"303",1989,1480847
"304",1995,1480123
"305",1995,1479475
"306",1992,1468939
"307",1996,1465832
"308",1997,1462997
"309",1989,1460026
"310",1996,1454791
"311",1995,1454584
"312",1994,1451737
"313",1996,1450267
"314",1993,1429686
"315",1992,1429244
"316",1992,1428516
"317",1995,1424375
"318",1996,1413145
"319",1994,1393618
"320",1996,1393427
"321",1991,1390495
"322",1995,1386083
"323",1992,1371264
"324",1993,1369814
"325",1993,1368007
"326",1990,1366117
"327",1995,1365096
"328",1996,1363676
"329",1996,1360045
"330",1996,1358795
"331",1991,1353626
"332",1991,1348837
"333",1990,1339965
"334",1993,1339233
"335",1995,1339127
"336",1993,1324165
"337",1994,1322883
"338",1994,1321650
"339",1991,1318185
"340",1994,1317822
"341",1988,1317227
"342",1991,1316166
"343",1995,1316137
"344",1991,1308922
"345",1995,1307195
"346",1988,1305379
"347",1991,1295513
"348",1993,1294638
"349",1991,1292545
"350",1993,1287514
"351",1991,1284317
"352",1991,1283986
"353",1992,1283289
"354",1991,1281361
"355",1990,1280028
"356",1991,1278718
"357",1995,1276105
"358",1993,1274766
"359",1992,1274229
"360",1990,1273492
"361",1991,1273284
"362",1990,1261338
"363",1993,1240288
"364",1992,1239930
"365",1992,1239581
"366",1988,1231142
"367",1992,1225921
"368",1992,1221233
"369",1989,1219936
"370",1990,1211987
"371",1991,1208123
